name
J.K. Rowling
Douglas E. Winter
Kathleen Banks Freeman
Philip Ellis Wheelwright
Geoffrey S. Kirk
Catherine Osborne
Jonathan Barnes
Catherine Thimmesh
Stanley Coren
Michael J. Gelb
Jane Walmsley
Terry Cole-Whittaker
Jiddu Krishnamurti
Pam Johnson-Bennett
Giuliana DePandi
Howard W. Stone
Hirohiko Araki
Ben Avery
Charles de Lint
James W. Loewen
Miguel Serrano
Kyoko Hikawa
Ursula K. Le Guin
Takehiko Inoue
CLAMP
Yumi Hotta
E.R. Eddison
Frederick P. Brooks Jr.
Junji Ito
Yōko Kamio
Lao Tzu
Mikhail Tal
Eiji Nonaka
Fuyumi Ono
Suzette Haden Elgin
Hiroyuki Morioka
Julie Powell
Yasunari Kawabata
Nancy Conrad
Chie Shinohara
Yayoi Ogawa
Chieri Uegaki
Suki Kim
R. Scott Bakker
Raymond E. Feist
Roger Zelazny
John Gregory Betancourt
Tamora Pierce
Michael Pollan
Joyce Lankester Brisley
Mandy Aftel
Jackie French Koller
Katherine Dunn
Sylvia Nasar
Edward de Bono
Sayadaw U. Pandita
Juliet Marillier
Andrew Solomon
Frank Warren
William Kalush
Melanie Rawn
James Preller
Lois Gladys Leppard
Konrad Eisenbichler
Konrad Lorenz
David S. Garnett
Mercedes Lackey
Bruce Patton
Richard Olney
Lady Sarashina
Audrey Niffenegger
Maureen Child
Susan   Mallery
Donna Tartt
John Lawrence Peterson
Tomie dePaola
Richard Matheson
Naomi Novik
Dorothy L. Sayers
Paul Belien
Chiho Saito
R.K. Narayan
Junichi Satō
Lennard Zinn
Jon Kabat-Zinn
June Casagrande
Tomo Matsumoto
Max Eilenberg
Teddy Slater
Erich Fromm
Eiki Eiki
Arien Mack
John M. Hull
Paul De Man
Ellis Weiner
Pearson Scott Foresman
Chester Gould
Jayne Castle
Susanna Clarke
Lan Samantha Chang
Rick Bass
Richard Flanagan
Mary Karr
Celeste Bradley
Matthew Kneale
Halldór Laxness
Alistair MacLeod
Ryū Murakami
George Saunders
Bob Dylan
Michael Gray
Stephen Wright
Victor Villaseñor
Rudolfo Anaya
Patricia McHugh
Alan Lightman
Kresley Cole
Neil Cole
Robert Coles
Cole Porter
Michael Spring
Steve Eddy
Richard Reeves
Oliver Sacks
Carrie Vaughn
Ken Mandelbaum
O. Henry
Peggy Parish
Michael Rabiger
Bill Nichols
Michael W. Dean
Mark Mazower
Leon Sciaky
Colin Wilson
Mike Carey
Herman Wouk
Gaston Leroux
Alex Austin
Francesca Lia Block
Thich Nhat Hanh
Mikal Gilmore
Adam Woog
Legs McNeil
Ian Glasper
David Weisman
Jean Stein
James Fenimore Cooper
Donald J. Sobol
Qiu Xiaolong
Stendhal
Robert Robinson
Mark Wigan
Lord Dunsany
William Morris
Johann Wolfgang von Goethe
Gotthold Ephraim Lessing
Mark Yarnell
Yochai Benkler
Tim Bogenn
Jennifer Weiner
Emma McLaughlin
William Gibson
R.C. Sproul
Jerome Karabel
Norman L. Geisler
Stephanie Laurens
John Major Jenkins
Marco Polo
John Marco
David Baldacci
S.E. Hinton
Betty  Smith
Ted Bader
Edward Albee
Virginia Woolf
Gertrude Stein
Kate Mosse
James Luceno
Dean Koontz
Lotte H. Eisner
Kerry Patterson
Neale Donald Walsch
Robert Scoble
Margaret Shepherd
Stephen Miller
Michka Assayas
David Lazar
Jeanette Winterson
Helena Grice
Alexander  Walker
Alfred Hitchcock
Robert A. Harris
Robert Arthur
Stephen Rebello
Joanne Harris
Georg Feuerstein
Arnold Rampersad
Haven Kimmel
Barry Hughart
Frank N. Magill
John Granger
Ann Granger
Art Spiegelman
Günter Grass
Wayne G. Hammond
William M. Bass
David Colbert
Margo Daly
Rough Guides
David Salo
Laurell K. Hamilton
Hugh    Miller
Jessica Snyder Sachs
Diane Mott Davidson
Poppy Z. Brite
The Harvard Lampoon
Rick Moody
Piers Anthony
Jonathan  A. Goldstein
Anonymous
Terry Brooks
Witold Gombrowicz
Laurel Thatcher Ulrich
Karen Cushman
Elizabeth  Davis
Sheryl Feldman
Gretchen Moran Laskas
Jan M. Kriebs
Richard Wright
Edmond Rostand
Alexander C. Irvine
Ann Rule
Katrina Kittle
Eric Hansen
Terry Moore
Georges Simenon
Louis Sachar
Patricia Highsmith
David Zane Mairowitz
Simon Cleveland
Michael H. Jackson
Danny Palmerlee
Robert Egan
B.K. Beckwith
Carole Nelson Douglas
Rex Pickett
Alexander Payne
Richard Dooling
Andre Dubus III
Mark Zwonitzer
Les Beletsky
National Geographic Society
Anne Michaels
Barbara Haworth-Attard
Albert Einstein
Ben Schoen
Galadriel Waters
Iain Pears
Jodi Cobb
Jane Haddam
Billy Mills
John Milton
Judith McNaught
Les Standiford
Gia Bathory Al Babel
Tess Uriza Holthe
Thad Carhart
Ann Packer
Michael Wharton
Kate Chopin
John Grigsby
Matt Wagner
Anthony Powell
Michael   Barber
Ron Chernow
Harvey Pekar
Kathy Acker
Janet Wallach
Queen Latifah
Jill Conner Browne
Catherine Gilbert Murdock
Eleanor Herman
Philippa Gregory
Z.Z. Packer
Mark Dunn
Richard Preston
Richard   Preston
Judith Larner Lowry
Laurie Halse Anderson
Mary Downing Hahn
Kate Atkinson
Sigmund Freud
Armistead Maupin
Colson Whitehead
Beverly Daniel Tatum
Terry Deary
John Fowles
Tobias Churton
Elizabeth M. Butler
Agatha Christie
Mary Westmacott
Charles Osborne
Lorna Landvik
Norton Juster
Fred Saberhagen
Philip José Farmer
Richard A. Lupoff
Doyle Brunson
Michael E. Doyle
Brian  Doyle
Hideyuki Kikuchi
Thomas Hobbes
Peter Blegvad
Alexis de Tocqueville
John     Kay
Victor Skrebneski
Teresa Edgerton
Donald A. Mackenzie
Janna Levin
Jon Agar
Brian Rotman
Anthony Mcreavy
Scott Wetzler
Mary M. Flekke
Donna Goldberg
Pat Conroy
Belva Plain
Erle Stanley Gardner
Susan Kandel
Martin Millar
J. Martin Evans
Christopher Isherwood
Barry  Lopez
Richard Rhodes
Owen  Thomas
Henry David Thoreau
Verlyn Flieger
Graham Masterton
Terry Eagleton
Eric Flint
Richard Brzezinski
Kurt Busiek
Stan Lee
Mark Waid
Maureen Johnson
Jillian Hunter
Judith A. Lansdowne
Blake Nelson
Daniel Quinn
Barbara Hambly
Ishmael Reed
Edwin A. Abbott
Ian Stewart
Lynn Kurland
David Bowie
Terry Lee Rioux
Michael K. Brett-Surman
Alec MacLellan
Willie Dixon
James Gleick
Chinua Achebe
Emily Mann
H.R. Giger
Aleksandr Solzhenitsyn
Richard B. Alley
James Baldwin
Willa Cather
Antonia Juhasz
Michael Dorris
Ralph Ellison
Kate Jacobs
John  Diamond
Bram Stoker
Arthur  Miller
Fred Anderson
David R. George III
George Gamow
Richard Hanley
Susan Ring
Robert L. Wolke
Marcy Kelman
David Weber
Elizabeth Moon
John Lescroart
Randall Kenan
Gary Oates
Carl Sagan
Barton Zwiebach
Kip S. Thorne
Emerson Eggerichs
Theodore L. Brown
John W. Dettman
Douglas C. Giancoli
Paul M. Fishbane
Marguerite Henry
Enid Blyton
Chris L. Demarest
Eleanor Clymer
Richard Bausch
Gary B. Nash
bell hooks
Vijay Prashad
W.E.B. Du Bois
Cornel West
Lani Guinier
Richard Proenneke
James L. Nelson
Rachel Klein
Maile Meloy
Ellen Meloy
Judith M. Meloy
Marilyn Johnson
Jim Butcher
John D. Fitzgerald
M. John Harrison
Edward R. Tufte
Nora Roberts
Paul  Collins
Martin Gardner
Maki Murakami
Mikhail Bulgakov
Elena N. Mahlow
Amir D. Aczel
Charles Stross
A.D.P. Briggs
Tom Stoppard
Adolfo Bioy Casares
Tim Flannery
Kristiana Gregory
Simon Singh
Eoin Colfer
Melinda Long
Terry Breverton
Bruce Coville
H. Jay Riker
Kevin D. Mitnick
George Stalk Jr.
Raph Koster
Ian        Martin
Sei Shōnagon
Bill Richardson
Stanisław Lem
Peter Kreeft
Denis Diderot
Alistair Horne
Peter Turchin
Unknown
François Rabelais
Maurice Merleau-Ponty
Dermot Moran
Robert Sokolowski
Don Ihde
Immanuel Kant
Jonathan Clements
Paul La Farge
Jill Elizabeth Nelson
Chris Offutt
Andrew J. Offutt
Deirdre Bair
Daniel Keyes
T.A. Barron
Matthew Pearl
Margaret Mitchell
Alice Randall
Thomas More
Audrey Penn
Barbara Ann Brennan
Ben Carson
Roméo Dallaire
Ian Caldwell
Joscelyn Godwin
David Bjerklie
George H. Scherr
Jerzy Kosiński
Adam Rex
Mary Wollstonecraft Shelley
Anne K. Mellor
Edmund Spenser
Christopher Marlowe
Stephen  Booth
Ann Rinaldi
Theodore Taylor
Kate Summerscale
Broughton Coburn
Reinhold Messner
Polly Horvath
Bette Greene
Alistair McCallum
Lauren Bacall
Joe Simpson
Ronlyn Domingue
Robert B. Parker
Mary Gaitskill
Deborah Gregory
Catherine Marshall
Bill Clinton
Stuart M. Kaminsky
Doug McClelland
Monica Ali
Mark Epstein
Ariel Levy
Chimamanda Ngozi Adichie
A.N. Roquelaure
James Salter
Alfred Uhry
Robert Graves
Peter Watson
Merlin Donald
Joseph Frank
Richard Freeborn
William Hubben
Mikhail Bakhtin
Martin Amis
Leonard Woolf
Quentin Bell
Gary K. Carey
Hermione Lee
Hildegarde Hoyt Swift
Selma G. Lanes
Rubem A. Alves
David Eddings
Marion Zimmer Bradley
John Peel
R.L. Stine
Slavoj Žižek
Sarah   Kay
Jodee Blanco
Joan Elizabeth Klingel Ray
Cordwainer Smith
David Simon
Simón Bolívar
Simon Perchik
Donald  Lloyd
Helen McCarthy
Dorothea Shefer-Vanson
John le Carré
Tedd Arnold
Julia Jarman
Ben M. Baglio
Jess Lourey
Myla Goldberg
Markus Zusak
George Eliot
Nikolai Gogol
Warren Murphy
Robert Munsch
Patrick Lencioni
George Lakoff
Gary A. Braunbeck
Harvey P. Mandel
Samuel Taylor Coleridge
Robert Nye
Helen Vendler
Seamus Heaney
David   Ward
David Day
David Gemmell
Astrid Lindgren
Beatrix Potter
Linda Lear
Chris Tait
Jeffrey H. Tigay
Alexander Heidel
Aurelio Voltaire
Merlin Holland
Joseph Pearce
Edward Gibbon
Jennings Michael Burch
Jennifer Chiaverini
Sharon Creech
Debbie Dadey
Dyan Sheldon
Sheri Lynch
Ngawang Pelzang
Meg Cabot
Julie Kenner
Caroline B. Cooney
Ned Vizzini
Paul Karasik
Elizabeth Gilbert
Arthur Schopenhauer
Irvin D. Yalom
Christopher Janaway
David James Duncan
Maurice Sendak
Marcella Hazan
Luigi Barzini
Luigi  Barzini
Mina Loy
Janet Flanner
Peter Straub
James   McBride
Victoria Finlay
Vincent van Gogh
Alan Dean Foster
Ann Beattie
Denise Dersin
Richard Stapleford
Robin Chapman Stacey
Ellen Anker
Lorrie Moore
Steve Perry
Jerome Preisler
John Helfers
Diane Duane
Jeff Rovin
Randy Leffingwell
Matt Christopher
Richard Powers
David R. Hawkins
William Manchester
Elaine Cunningham
Mark  Hunter
FASA Corporation
Heidi Betts
Ellen Kushner
Jerome Kagan
Micol Ostow
Anne McCaffrey
Jude Watson
Joan Goldstein
Manuela Soares
Tara McCarthy
McDougal Littell
Grif Stockley
Blaine M. Yorgason
James Scott Bell
John Keats
Max Allan Collins
Steve Augarde
George Plimpton
Brian J. Robb
Gardner Dozois
Joan Aiken
Russell Hoban
Mark O'Shea
Ansel Adams
Emma Barker
Charles A. Coulombe
Stanley Bing
Robert D. Richardson Jr.
Carl Senna
Kathryn  Hughes
Chris Adrian
Robert M. Sapolsky
Larry J. Stephens
Erving Goffman
Aesop
Stephen R. Swinburne
Richard Curtis
William Murray
Michael Jecks
Don Macmillan
Rosalind M. Greenberg
Martin H. Greenberg
Dennis Adler
R. McL. Wilson
Arthur Yorinks
Wayne W. Dyer
Michael S.  Smith
Michael Marshall Smith
Chris Archer
Kate Elliott
Sherwood Smith
Anne Easter Smith
Robert E. Howard
Lynda Madison
Nancy Holyoke
Patti Kelley Criswell
Mymi Doinet
Robert Shapard
Elizabeth Silverthorne
Thomas Bailey Saunders
Giuliano Hazan
Paola Nanni-Tate
Mary Anna Evans
Stormie Omartian
Robert Bauval
Ben Bova
James E. Ingram
Rick Steves
Adrian McKinty
P.T. Deutermann
Brian Michael Bendis
Bill Willingham
Russell Roberts
John Ayto
Greg Tang
David Axton
Joseph Wambaugh
Stephen J. Cannell
Michael Connelly
Joe Haldeman
Constance Ash
Hidenori Hara
Dennis Lehane
Donald H. Wolfe
William T. Rasmussen
Mary  Pacios
Karin Slaughter
Lee Child
Edward Steers Jr.
George Grant
Morag McKendrick Pippin
William Goldman
David Morrell
Bernard Cornwell
Stephen Hunter
Reinaldo Arenas
Douglas Preston
E.L. Doctorow
Mark      Stevens
Mario Puzo
John Lange
Eamon Duffy
Rajiv Chandrasekaran
Laurie Garrett
Peter D. Schiff
Chris Anderson
Jakob Nielsen
Yvon Chouinard
Cecily von Ziegesar
Jess Walter
Charles Seife
Lynnette Khalfani
Nick Cook
Jeff Long
Karen Traviss
Andy McNab
Heather O'Neill
Minfong Ho
Robert Crais
Diana Palmer
Jane Porter
Christina Dodd
Jerry Spinelli
Albert Demeo
Lewis Perdue
Rob Thomas
Nicholas Christopher
Monica Drake
Eileen Gunn
Dani Cavallaro
Grant Morrison
Robert  Mayer
Ivan T. Sanderson
Warren Ellis
Preston Peet
Russ Kick
Charles Darwin
Albert Jack
Elaine Pagels
Donald Kagan
Hannah Arendt
Julian Jaynes
Casey Loe
Barrington Moore Jr.
Carl Zimmer
Daron Acemoğlu
Yosef A.A. Ben-Jochannan
Aldon D. Morris
F.F. Bruce
Don  Lee
Colin McGinn
Michael Baur
Steve Turner
Joe Meno
Neil deGrasse Tyson
Joseph Vargo
Yu Aida
Ed Dorn
Antony Johnston
Jennifer Hendricks
Watchman Nee
Robert Ferrigno
Ali Vali
Jean Baudrillard
Chris Horrocks
T.Z. Lavine
Jane Robins
Jane Green
Albert Ellis
David Ellis
Shannon Drake
Brenda Novak
Ann  O'Leary
Deborah Woodworth
Rumiko Takahashi
Joseph O'Connor
Wendy Markham
Ai Morinaga
Stephen R. Donaldson
Yasuhiro Kano
Molly C. Lee
Candace Schuler
Gilles Deleuze
Jacob Grimm
Kaoru Mori
Jo Clayton
Lidia Matticchio Bastianich
Federico García Lorca
Alister E. McGrath
Richard E. Neustadt
Patrick McGrath
Michael D. Oates
Hanif Kureishi
Roland Barthes
Manuel Rivas
Jeremy Rifkin
Margery Facklam
Caroline Sharp
David Levithan
Sean Stewart
Bryan Magee
Lynn Keller
Ross Garnaut
Adam  Sexton
Michael Korda
Josiah Bunting
Weldon Thornton
Ernle Bradford
Bruce Arnold
Tony Hawks
Chris Kubica
Karen Katz
Kate Klise
Pimsleur Language Programs
Alain de Botton
Elizabeth A. Lynn
Anna Deavere Smith
Jessica Porter
Sandra Cisneros
Katharine McMahon
Eric Chaisson
Stephen P. Maran
Dinah L. Moché
Philip Plait
Richard Buxton
Edith Hamilton
Alex Ross
John Lindow
William F. Russell
Peter M. Robinson
Hannah Hurnard
William J. Bennett
Walter Dean Myers
Todd Davis
Roger Ebert
Al Franken
Jacob Weisberg
Christina Scull
Douglas A. Anderson
Jane Chance
Rose A. Zimbardo
Lisa Carey
William L. Shirer
Emily Giffin
Elaine Barbieri
David G. Hartwell
G. Richard Shell
Thomas  Harris
Yvonne Tasker
H. Rider Haggard
Laura Buller
Tom D. Crouch
Paul Glovinsky
Michael L. Perlis
Peter  Van Houten
Mary S. Lovell
Javier Cercas
Albert Speer
William Blake
G.E. Bentley Jr.
Edgar Allan Poe
Dawn B. Sova
V. Vale
Irvine Welsh
Murray Smith
Louann Brizendine
Joaquin Miller
Phil Town
John Weld
Gabrielle Ann Euvino
Wendy  Mitchell
Carolyn Brown
Leonardo da Vinci
Doris Lessing
Margot Theis Raven
Ron Roy
Paul Davies
Megan McDonald
Marissa Moss
Jennifer Frantz
Jed Carleton
Phyllis Reynolds Naylor
Robert Sabuda
Anne Stuart
J.V. Jones
Stan Jones
Andrei Codrescu
James Lincoln Collier
David Almond
Victor Hugo
Monica Kulling
Kate DiCamillo
Avi
Elizabeth Stuart Phelps
Anne Mazer
Gail Carson Levine
Peter David
Nicholas Wright
George Selden
Sylvia Cassedy
David Poyer
Tamara Thorne
Masakazu Katsura
Michael R. Phillips
Marcus Tullius Cicero
Lisa Jackson
Jon M. Gibson
Anne Macdonald
Tom Hodgkinson
D.B. Wyndham-Lewis
Mark LeVine
Terry Gilliam
Graham Chapman
Herbert Asbury
Annalee Allen
Western Sonoma County Historical Society
Library Company of Philadelphia
Jacqueline Ann
Charles Baudelaire
Epictetus
Mollie Hunter
Nigel Tranter
Roger Lancelyn Green
Ingri d'Aulaire
Kevin Crossley-Holland
Snorri Sturluson
Galina Krasskova
Barbara Leonie Picard
Rosalind Miles
Tristan Taormino
Emily Jenkins
Andrew Delbanco
Jane Leslie Conly
William Rodney Allen
Scott Westerfeld
Lloyd Alexander
Michael O. Tunnell
Mark Z. Danielewski
Silas House
John Hodgman
Bill Watterson
Richard Paul Russo
Harry Crews
S.M. Stirling
William Sleator
John Kennedy Toole
David Cote
Victoria Alexander
Errol Flynn
Michael Hanlon
Connie Willis
Anthony Grafton
Girolamo Cardano
Simon Winchester
Thomas Cahill
Darina Allen
James Graham Leyburn
Ashley Shannon
Juliette Aristides
Juliette De Bairacli Levy
Juliette Benzoni
Betty MacDonald
David Brin
Jay McInerney
Colum McCann
Roberta Gellis
Jonathan Kozol
Dan Savage
J. Anthony Lukas
Molly Bang
William Cronon
Sandra Balzo
James J. Gibson
Mark Manning
Arthur Nersesian
Alexandra Robbins
Martha Grimes
Craig Thompson
Kenzaburō Ōe
Shūsaku Endō
Hiroki Endo
Natalie Babbitt
Peter Singer
Kurt Reiter
James Krüss
Laurence Yep
Andrew James McLean
Reza Aslan
George MacDonald Fraser
Richard B. Lee
Kei Ohishi
Anthony E. Wolf
Steven C. Hayes
Carol Stock Kranowitz
Danielle Steel
Deborah Hopkinson
Dan Nadel
Satosumi Takaguchi
Natsuo Kirino
Rachel Cohn
Mystery
Marilyn Manson
Jostein Gaarder
Esmeralda Santiago
Nicholas    Evans
John Perkins
John M. Perkins
Mira Nair
John F. Nash
Robert C. O'Brien
Joseph Blotner
Stuart J. Murphy
Michael Craft
Winston S. Churchill
John Guare
Jorge Bucay
Christopher   Black
Mark Bittman
Samuel Hynes
Eleanor J. Gibson
Tacitus
Adam Smith
Thomas Aquinas
G.K. Chesterton
Isaac Bashevis Singer
Hilary H. Milton
R.R. Palmer
Michael Swanwick
Miyamoto Musashi
Alan  Lee
Kōji Suzuki
Lauren Willig
Satoru Kannagi
Marthe Le Van
James M. Cain
Laura Godwin
Rich Wulf
Gregory Bassham
Diane Haeger
W.G. Sebald
Misao Inagaki
Andrew      Hunt
Kazuo Umezu
Michael Eliot Howard
Iraj Pezeshkzad
Abolqasem Ferdowsi
Brady Games
Jan Guillou
Yuki Shimizu
Dai Sijie
Honoré de Balzac
Marshall McLuhan
Michael     Lewis
Peter Conn
Jen Lancaster
David Schickler
Burton G. Malkiel
Brad Meltzer
Deborah Bray Haddock
Margaret Peterson Haddix
Martin E.P. Seligman
Robert McCloskey
Robin Lane Fox
Padraic Colum
Homer Hickam
Rheta Grimsley Johnson
Chip Kidd
Paramahansa Yogananda
Jeff Shaara
Kuki Gallmann
Sophie Braimbridge
Janwillem van de Wetering
Plotinus
Karl Jaspers
Frances Stonor Saunders
Carole Marsh
Mark Cohen
Peter Olafson
Daniel Goleman
Yohanan Aharoni
Margaret MacMillan
Xenophon
Jane Medwell
Walter Kaufmann
Eric A. Meyer
Makoto Inoue
Stephen G. Kochan
Walter J. Savitch
Thomas Bulfinch
Janette K. Klingner
Judith Thurman
Erin McKean
E.E. Cummings
Dennis Slifer
Beth Moore
Terry Cooper
Garth Ennis
C.E. Murphy
Antonio Negri
Timothy S. Murphy
Vince Flynn
Ju-Yeon Rhim
Mark Fainaru-Wada
Stephen Leigh
Mary Burton
David McCasland
Gregg Olsen
Jim Keogh
David Allen Sibley
C.D.B. Bryan
Donald J. Crump
Norman Kolpas
Chuck Williams
Frederick C. Beiser
Laurence Olivier
Robert Irwin
Russell Banks
Zora Neale Hurston
Nicholas P. White
Tim Downs
Peter Abrahams
James Tiptree Jr.
Colin      Wells
Paul Krugman
Commander X
Zak Smith
Flann O'Brien
Marion Woodman
Bill   Phillips
Donna Woolfolk Cross
Emmanuel Rhoides
Rachel Caine
Ashley Gardner
Philip Johnson
Confucius
Indu Sundaresan
John Hersey
Rachel Carson
Paul Brooks
Justine Korman Fontes
William Martin
Marianne Williams
Frank  Graham
Jonathan Harr
Anthony  Lewis
Apollodorus
Hermann Broch
Phillip Lopate
Scott Beatty
Tom DeFalco
J. Ed Komoszewski
Adam Hochschild
Zecharia Sitchin
Esther Perel
Geoffrey Miller
David M. Buss
A.B. Yehoshua
Bob Woodward
Virginia Lee Burton
Tim LaHaye
Muhammad Yunus
Jeff Hawkins
Travis Bradberry
Karen Berman
Stuart Russell
Wilma Davidson
John             Lewis
Christopher Andersen
Sharon Green
Amos Oz
Bernard Lewis
Peter Woit
Kathleen V. Kudlinski
Cheri Huber
Jean-Benoît Nadeau
William Westney
Michela Wrong
Philip Caputo
Margaret Feinberg
Peter G. Bolt
Margaret Thaler Singer
Norman Rush
Michelle Lovric
Paschal Beverly Randolph
Julia Glass
Robert X. Cringely
Janet Geringer Woititz
Mary  Stewart
Michael Ende
Narise Konohara
Stuart M. Matlins
Christopher   Green
Ronald J. Faust
Eric P. Kelly
William H. Press
William T. Vetterling
Alexander Pushkin
Michael T. Goodrich
Mark Allen Weiss
Adam Drozdek
Frank M. Carrano
Robert Sedgewick
Dave Luckett
Angus Wells
Peter Handke
Robert F. Kennedy Jr.
Binjamin W. Segel
Robert Cullen
Bob Cullen
Mircea Eliade
David J. Hassel
Rebecca Solnit
Ken Knabb
Chris Gray
Sarah Dunant
Michael  Wood
Susanna Kaysen
A.J. Jacobs
Mark Vonnegut
David A. Adler
David Thomas Lord
William  James
Rick Riordan
Cornelia Funke
Louis Menand
Jack Du Brul
Randy Shilts
Nadine Cohodas
Nicholson Baker
Paul Theroux
Trudi Canavan
Marshall Sahlins
Bessie Head
Tom Perrotta
Georges Perec
William Saroyan
Margaret Cho
Denise Riley
Raymond Queneau
Boris Vian
Roger Shattuck
William C. Carter
Stéphane Heuet
Amy Taubin
Paul Schrader
Shana Abe
John Lewis Gaddis
William Gaddis
John      O'Brien
Margaret Weiss
Robert A. Weiss
Stanislav Grof
Denise Little
William Jefferies
Neal Barrett Jr.
Robert Boyle
Stephen Cox
John Baldessari
William Empson
Janny Wurts
Evangeline Walton
Robert W. Strayer
Julian Rubinstein
Greg Keyes
Elliot Aronson
Robert B. Cialdini
Deborah Blum
Will Durant
Niccolò Machiavelli
Elizabeth Hoyt
Edward Rutherfurd
Lisa Trumbauer
Christopher Moore
Kent R. Weeks
Frank P. Incropera
Mike Lupica
Yunus A. Cengel
Robert Goddard
Shannon Holmes
Kermit L. Hall
Allegra Goodman
Donna Leon
Peter Tremayne
Lynda Barry
Suetonius
John F. MacArthur Jr.
John M. Barry
Andrew Hussey
Jorge Cervantes
Anthony J. Cascardi
Maria Antonia Garcés
John  Baxter
Christopher Schmitt
P.D. Eastman
Roy McKie
Mistress Lorelei
Miasha
T.H. White
Takashi Hashiguchi
John D'Emilio
Stacey Szklut
Ram Dass
David Wiesner
Nancy   Harding
George Crile
Jonathan Phillips
M.J. Trow
Michael Azerrad
Rick Osborne
Hervé Guibert
A.M. Homes
J.J. Connolly
Norah Vincent
Basil Mahon
Tony Horwitz
Elizabeth Peters
Diana Kendall
Eireann Corrigan
Claudia Carroll
Diablo Cody
Noire
Luke Davies
Mian Mian
Kara
Sam Harris
William Poundstone
L. Sprague de Camp
Edgar Rice Burroughs
Charles John Cutcliffe Wright Hyne
Kurt Eichenwald
Anthony F.C. Wallace
Kang-Woo Lee
Carlton Mellick III
Warren W. Wiersbe
Walter Farley
Jeremy Leven
Paul       Davidson
Andrew M. Greeley
Michael F. Roizen
Isaac Asimov
Leslie Gross Portney
Cory Doctorow
Ron     Miller
Hervie Haufler
Jack Meadows
Barbara Berst Adams
Tony Judt
Grant R. Osborne
Alvin L. Reid
Robert Musil
Leonard  Orr
Nathan Englander
John Bunyan
Bryan Lee O'Malley
Helen L. Taylor
James Daugherty
Diana Butler Bass
John D. Leonard
Robert A.M. Stern
Kevin   Walsh
Eric Homberger
Miroslav Sasek
Paul Findley
Timothy Findley
Nigel Findley
Claire McNab
Adrian Guelke
Devra Davis
Philip Levine
Richard Bach
Pamela F. Service
Vera John-Steiner
Alfred D. Chandler Jr.
Dashiell Hammett
Kenneth Silverman
Michael Moorcock
Charles  Green
Norman Maclean
Fred Pearce
Elizabeth C. Economy
Bodie Thoene
Robert Kirkman
Gayden Metcalfe
Linda Howard
Kevin Brockmeier
Dan Hitt
Darren R. Weissman
Robert A. Nye
Alan Hollinghurst
Mark Steyn
Shel Silverstein
MaryJanice Davidson
P.C. Cast
Brian Azzarello
Maria Coffey
Ross Thomas
Daniel Clowes
Hinako Takanaga
Sherry Shahan
Steve Hamilton
Mayu Shinjō
Dennis L. Kasper
Kim Harrison
Lou Marinoff
Youka Nitta
James Brian Smith
Amelia Atwater-Rhodes
Hugh Kenner
Sandra Brown
Erin St. Claire
Rachel Ryan
Sandra West Prowell
Laura  Jordan
Iyanla Vanzant
Karl Marx
Bob Blaisdell
Roddy Doyle
Philip Thody
Hazel Rowley
John  Compton
Edmund Burke
Elizabeth Alexander
Jeremy Gilbert-Rolfe
Richard Klein
Christopher Hitchens
Paul Strathern
Tom Hunt
Julia Indichova
Friedrich Reck-Malleczewen
Clement Greenberg
Bruce L. Edwards
Lala Okamoto
René Descartes
Marcus Aurelius
Arthur Koestler
Walter Kirn
Michel de Montaigne
Abbie Hoffman
Deborah Eisenberg
Kohta Hirano
Lennart Hellsing
Andrew Heintzman
Jerry B. Jenkins
Maxine Hong Kingston
Susan Donovan
Anna J.
George H. Wood
Rene Gutteridge
Evelyn Waugh
Rodney Stark
Rick Barba
Andrea Camilleri
Andreas Gursky
Mel Odom
Stephen Desberg
Bart G. Farkas
Luis Vélez de Guevara
Kei Kusunoki
Chris Rowthorn
Joan Sinclair
Haruko Taya Cook
Kitty Burns Florey
Abigail Thomas
Patricia B. McConnell
Malcolm X
James H. Cone
Malcolm Lowry
Malcolm Barber
Andrew Helfer
Malcolm Godwin
Noel Malcolm
Karen Harper
Retha M. Warnicke
Robin Maxwell
Patricia Justine Tumang
Dodie Smith
Richard W. Bulliet
Elizabeth Gaskell
Sarah Miller
Isabel Miller
W. Somerset Maugham
Hugh Bicheno
Henry Fielding
Samuel Richardson
Carol Adrienne
Patrick Larkin
Nicholas Dawidoff
James H. Cobb
Gayle Lynds
Neil LaBute
Harriet Lerner
Nicolas Tredell
Elizabeth  George
Elizabeth George
Nir Hefez
Yehuda Koren
Claire Brennan
Adam Mansbach
Lori Foster
Thomas Hardy
Gail A. Eisnitz
Lawrence Block
Donald D. Stull
Daisy Meadows
Ul De Rico
Wade Davis
Emmuska Orczy
V.S. Ramachandran
Jeffrey Alford
Lizzie Collingham
Camellia Panjabi
Sudha Koul
C.G. Jung
Chris Van Allsburg
Ellen Weiss
Graham McNeill
Michael A. Stackpole
Ben Counter
J.E. Austen Leigh
Maggie Black
Edward Copeland
Sally Smith O'Rourke
Stephanie Barron
Erich Auerbach
James F. Calvert
Ted Honderich
Robert Arp
Tom Morris
William Irwin
Andy Warhol
David Baggett
Louis P. Pojman
Frederick Charles Copleston
John Cottingham
Kevin S. Decker
Gary L. Hardcastle
Boethius
David J. Chalmers
Richard V. Greene
Jürgen Habermas
Jonathan Wolff
Sarvepalli Radhakrishnan
