publisher,average_rating
Hippo/Scholastic,4.26
History Press Ltd,4.07
Hodder,3.96
Hodder & Stoughton,3.991428571428571
Hodder & Stoughton Educational Division,0.0
Hodder & Stoughton Ltd,3.88
Hodder Audio,3.57
Hodder Children's Books,3.8366666666666664
Hodder Mobius,3.95
Hodder Wayland,4.06
Hodder and Stoughton,3.91
Holiday House,4.003333333333333
Holloway House,4.26
Holt  Rinehart and Winston  Inc.,4.02
Holt McDougal,4.21
Holt Paperbacks,4.085
Honor Books,3.4450000000000003
Houghton Mifflin,4.0268421052631584
Houghton Mifflin Co. (Boston/NY),3.9
Houghton Mifflin Company,4.07125
Houghton Mifflin Harcourt,4.078205128205129
Houghton Mifflin Harcourt P,3.9749999999999996
Houghton Mifflin/Seymour Lawrence,4.15
House of Anansi Press,3.48
House of Stratus,3.94
Hovel Audio,4.32
Howard Books,4.199999999999999
Howard Publishing Co,3.98
Howard University Press,4.27
Hqn,4.08
Hub City Press,4.2
Hungry Minds,3.7800000000000002
Hyperio,3.43
Hyperion,3.814
Hyperion Books,4.0575
Hyperion Books for Children,3.735
Hyperion Paperbacks,3.64
IDW Publishing,4.2700000000000005
IVP Academic,3.8366666666666664
IVP Books,3.705
Icon Books,3.486666666666667
Ig Publishing,3.6
Ignatius Press,4.233333333333333
Image,4.14
Image Comics,4.275
Impact,3.8899999999999997
Imprint Academic,4.14
Indiana University Press,4.0285714285714285
Indigo,3.89
IndyPublish.com,4.14
Inkling Books,4.09
Inner City Books,3.93
Inner Light - Global Communications,2.83
Inner Traditions,4.1
Inner Traditions International,4.28
Insel,3.74
Insel  Frankfurt,3.88
Insight International,4.06
Inter Varsity Press,3.93
Inter-Varsity Press,4.14
InterVarsity Press,4.16
Intercultural Publishing,1.67
Interlink Publishing Group,4.21
International Code Council,3.4450000000000003
International Polygonics,3.63
International Publishers,3.89
International Publishers (NYC),3.55
Island,3.86
Island Books,4.14
Island Press,4.59
It Books,3.8499999999999996
Ivan R. Dee,4.29
Ivan R. Dee  Publisher,4.33
Ivan R. Dee Publisher,3.6999999999999997
Ivy Books,3.725
"Izdavačka agencija ""Draganić""",0.0
J'AI LU,4.17
J'ai Lu,4.093999999999999
J'ai lu,4.16625
Jane Nissen Books,3.67
Jessica Kingsley Publishers,4.0
Jimmy Patterson,3.88
Joanna Cotler Books,3.84
Joanna Cotler Books/HarperCollinsPublishers,3.77
John F. Blair  Publisher,3.825
John Wiley,4.03
John Wiley & Sons,3.8525
Johns Hopkins University Press,3.9124999999999996
Johnson Publishing Company (IL),4.44
Jonathan Cape,3.835714285714286
Jones & Bartlett Publishers,4.06
Jones Books,3.79
Joshua Odell Editions,4.1
Jossey-Bass,3.98125
Jove,3.8973684210526316
Jove Books,3.902857142857143
Julia MacRae,3.82
Julie Andrews Collection,3.31
Jump At The Sun,4.18
Jump at the Sun,3.64
K.G. Saur Verlag,0.0
Kabel  Verlag GmbH Ernst,3.82
Kaplan,3.59
Kaplan Publishing,3.79
Keep It Simple Books,4.215
Kensington,3.7606666666666664
Kensington Publishing Corporation,3.8366666666666664
Kent State University Press,4.21
Kent State University Press (OH),4.04
Kessinger Publishing,3.8227272727272723
KiWi,3.46
Kids Can Press,4.19
Kiepenheuer & Witsch,3.89
Kindle,4.18
Kingfisher,3.9433333333333334
Klett,3.8
Klincksieck,4.27
Knopf,3.9476923076923076
Knopf Books for Young Readers,4.1000000000000005
Knopf Doubleday Publishing Group,0.0
Knopf Publishing Group,3.9133333333333336
Knowledge Products,3.86
Kodansha,3.7925
Kodansha America,3.75
Kodansha International,3.87
Konemann,4.11
Krause Publications,4.09
Kregel Academic & Professional,3.86
Kregel Publications,4.2
Kuperard,3.29
Kyle Books,4.17
L.A. Weekly Books,4.0
LGF,3.77
LSU Press,4.37
LWW,4.109999999999999
La factoría de ideas,4.09
Laffont,4.01
Lama Foundation (San Cristobal  NM),4.29
Lantern Books,4.0
Large Print Press,4.04
Lark Books,4.15
Larousse,3.92
Larousse Kingfisher Chambers,3.77
Lasser Press,4.05
Laurel,3.715
Laurel Leaf,3.94625
Laurel Leaf Books,3.82
Laurel Leaf Library,3.9355555555555557
Laurel Press,4.15
Laurel-Leaf Books,3.51
Lawbook Exchange  Ltd.,4.0
Lawrence Hill Books,4.07
Le Livre de Poche,4.02375
Learning Matters,3.87
Lectorum,4.18
Lectorum Publications,4.18
Leete's Island Books,4.09
Legend,4.07
Leisure,3.91
Leisure Books,3.8121739130434786
Lerner Publications,3.88
Let's Go Publications,3.93
Libraries Unlimited,2.67
Library of America,4.263461538461538
Library of America (NY),4.61
Library of American Comics,4.02
Library of Liberal Arts/Bobb-Merrill (Indianapolis  IN),4.03
Libros para ninos,3.47
Liguori Publications,4.49
Limelight,4.1
Limelight Editions,4.41
Limitless Corporation,3.86
Lions,3.72
Lippincott Williams & Wilkins,4.29
List,3.78
List Taschenbuch,3.4
Listening Library,4.079999999999999
Listening Library (Audio),3.9659999999999997
Literatura Random House,3.81
Little  Brown,3.9850000000000003
Little  Brown & Company,4.204444444444444
Little  Brown & Company (Boston/Toronto),4.29
Little  Brown Book Group,4.077692307692308
Little  Brown Books for Young Readers,3.96
Little  Brown Young Readers,3.825
Little  Brown and Company,3.9752173913043483
Little Apple,3.82
Little Bookroom,4.3
Little Brown,3.66
Little Brown and Company,3.576923076923077
Little Simon,4.24
Live Oak Media,4.11
Liveright,4.22
Liveright Publishing Corp.,4.38
Liveright/W.W. Norton & Company  Inc.,4.35
Living Books,4.04
Livre de Poche,3.8866666666666667
Llewellyn Publications,4.046666666666667
Lodestar Books,4.37
Loeb Classical Library,4.212000000000001
Loeb Classical Library 307,4.57
Loeb Classical Library 443,4.52
Loeb Classical Library/Harvard University Press,4.07
London : Collins  2004.,4.01
London : Faber  2002,3.07
Lone Oak Press,4.5
Lonely Planet,3.357142857142857
Longman,3.84
Longman Publishing Group,3.3228571428571425
Longman Schools Division (a Pearson Education Company),3.96
Longmeadow Press,4.58
Loose Id  LLC,3.99
Love Inspired,3.78
Love Spell,3.756666666666667
Loveswept,3.62
Loyola Classics,3.6
Loyola Press (Chicago),4.0
Luath Press Ltd,3.25
Lucas Books,4.14
Lucent Books,3.8
Lulu Press,4.3
Lulu.com,4.235
Lumen,3.98
Luna,3.95
Luna Books,3.97
Lyons Press,3.915
Lübbe,3.9859999999999998
MIRA,3.692222222222222
MIT Press,3.98
MIT Press (Cambridge  MA),3.96
MIT Press (MA),4.0
MJF Books,4.11
MONDIAL,3.735
MTV Books,4.053333333333334
MacAdam/Cage,3.97
MacMillan,4.125
MacMillan Audio,3.7133333333333334
MacMillan Children's Books,3.92
MacMillan General Books,3.8499999999999996
MacMillan Publishing Company,3.995
MacMillan UK,4.27
Macmillan,2.005
Macmillan Audio,3.982857142857143
Macmillan Children's Books,4.07
Macmillan Publ. Co.,4.13
Macmillan Publishing Company/Collier Books,4.09
Main Street Books,4.095
Malhavoc Press,4.2
Management Books 2000,3.95
Manchester University Press,4.33
Manesse Verlag,4.12
Manning Publications,3.665
Margaret K. McElderry Books,3.7525
Mariner Books,3.933533333333333
Mariner Books / Harvest Books,3.91
Marion Boyars Publishers,3.955
Marion Boyars Publishers Ltd,3.575
Mark Cahill Ministries,4.13
Marlowe & Company,4.28
Marshall Cavendish Editions,4.11
Marsilio Publishers,4.1
Martínez Roca,3.78
Marvel,3.878095238095238
Marvel Comics,4.076666666666667
Marvel Comics Group,3.9971428571428573
Material World,4.44
Maxima New Media,3.65
Mayfield Publishing Company (NY),4.33
McClelland & Stewart,4.0200000000000005
McClelland and Stewart,3.68
McDougal Littel,2.0
McFarland & Company,3.82
McGraw-Hill,3.813333333333334
McGraw-Hill Companies,3.6366666666666667
McGraw-Hill Education,3.915
McGraw-Hill Humanities/Social Sciences/Languages,4.010000000000001
McGraw-Hill Medical Publishing,4.35
McGraw-Hill Professional Publishing,2.145
McGraw-Hill Science/Engineering/Math,4.15
McGraw-Hill/Glencoe,4.0
McSweeney's,3.8983333333333334
Meisha Merlin Publishing,4.09
Mel Bay Publications  Inc.,3.83
Melodrama Publishing,4.2
Melville House Publishing,3.6849999999999996
Meredith Corporation,0.0
Merlin Publishing,3.5
Mestas Ediciones,4.08
Methuen Drama,3.84
Methuen Publishing,3.8633333333333333
MetroBooks (NY),4.055
Metropolitan Books,3.54
Metropolitan Books/Henry Holt & Co. (NY),3.97
Michael Joseph,4.06
Michael Joseph Ltd./Penguin Books Ltd.,4.5
Michael O'Mara,3.55
Michael O'Mara Books,3.73
Microsoft Press,4.17
Middlesex University Press,3.71
Middleway Press,4.28
Midnight Ink,3.56
Mikaya Press,4.44
Millenium,4.08
Millipede Press,3.92
Mills & Boon,3.6
Minnesota Heritage Publishing,4.29
Minnesota Historical Society Press,3.8449999999999998
Minotaur Books,3.9189999999999996
Mira,3.9800000000000004
Mira (Mills and Boon),3.66
Mira Books,3.725454545454546
Mira books,3.67
Miramax,3.983333333333333
Miramax Books,4.1175
Mirrorstone,4.33
Modern Language Association of America,3.75
Modern Library,3.971829268292683
Modern Library (NY),4.44
Modern Library Classics,3.9899999999999998
Modern Library/Random House (NY),3.955
Modern Publishing,3.79
Mondadori,3.5966666666666662
Mongoose Publishing,4.0
Monkfish Book Publishing,3.77
Monolith Graphics,4.23
Montena,4.013333333333333
Montlake Romance,4.24
Moody Publishers,3.5483333333333333
Moody Publishers (Chicago),3.68
Morgan Road Books,3.83
Morpheus International,4.35
Morrow,3.82
Motilal Banarsidass,4.23
Motorbooks,4.06
Motorbooks International,4.22
Mountaineers Books,4.07
Moyer Bell and its subsidiaries,3.992
Multnomah,4.285
Multnomah Books,4.025
Museum of Modern Art,4.22
Mysterious Press,3.745
Mythopoeic Press,3.79
Métailié,4.33
NAL,3.918571428571429
NAL Books,4.11
NAL Jam,3.92
NAL Trade,3.9933333333333336
NYRB Classics,3.94
Naiad Press,3.6900000000000004
Nan A. Talese,3.7433333333333336
Nantier Beall Minoustchine Publishing,3.79
Napoleon and Co,4.0
Nation Books,3.3
National Gallery London,3.64
National Geographic,3.9766666666666666
National Geographic Children's Books,3.98
National Geographic Society,3.9539999999999997
National Park Service,4.42
Naxos Audiobooks,3.74
Neil Wilson Publishing,3.93
Nelson Books,3.765
Nelson Current,4.24
Nelson Reference & Electronic Publishing,4.2
Nelson Thornes Ltd,3.74
New American Library,4.17
New City Press,3.995
New Directions,4.035714285714286
New Directions Publishing,4.22
New Directions Publishing Corporation,4.173333333333333
New English Library,4.086666666666667
New English Library (Hodder & Stoughton),4.22
New Falcon Publications,4.26
New Harbinger Publications,4.05
New Island Books,3.63
New Millennium Library,3.79
New Page Books,3.83
New Press,3.9233333333333333
New Press  The,3.98
New Press (NY),4.34
New Riders Publishing,3.9766666666666666
New Tradition Books,3.0
New World Library,4.26
New World Publishing,3.76
New York : Penguin Books,3.88
New York Review Children's Collection,3.93
New York Review of Books,4.1433333333333335
New York University Press,3.9000000000000004
New York: Random House,4.17
Newmarket,4.05
Newmarket Press,4.242
Nicholas Brealey,3.7
Nick Hern Books,3.9274999999999998
Night Shade,3.84
Night Shade Books,4.02
Nimble Books,3.74
No Exit Press,3.968
No Starch Press,3.92
Nonpareil Books,4.29
Nonsuch Publishing,4.06
Noonday Press,4.17
Norma,3.95
Norma Editorial,4.25
North Atlantic Books,4.4025
North Light Books,3.775
North Point Press,4.0633333333333335
North Star Publications (MA),3.2
Northeastern University Press,3.94
Northwestern Univ Press,3.11
Northwestern University Press,3.858571428571429
Norton,3.955
Norton and Co.,4.21
Nostalgia Ventures,3.99
Not Avail,3.982
Nova Audio Books,4.09
Nova Fronteira,3.89
Nymphenburger,3.9699999999999998
O'Brien Press,3.14
O'Reilly Media,3.925
OUP Oxford,3.995
Oberlin College Press,4.3
Oberon Books,4.0
Octopus Books,4.05
Octopus Books (London),4.14
Oddysey/Harcourt Young Classics,4.0
Odonian Press,3.9933333333333336
Ohio State University Press,3.92
Omnibus Hc Bei Bertelsmann,4.12
Omnibus Press,4.279999999999999
Omohundro Institute and University of North Carolina Press,4.12
One Hour Entertainment,3.82
One World (UK),3.88
One World/Ballantine,4.39
Oni Press,3.72
Onyx,3.91
Onyx Books,4.19
Open Court,3.865
Open Court Publishing Company,3.79
Open Heaven Publications,4.31
Orb Books,3.8688235294117646
Orbis Books,4.34
Orbit,4.042222222222223
Orbit Books,3.97
Orchard,4.03
Orchard Books,4.091428571428572
Orchard Books (NY),3.7
Oregon State University Press,4.01
Orion,3.9326666666666665
Orion (an Imprint of The Orion Publishing Group Ltd ),3.9
Orion Books,3.9133333333333336
Orion Children's Books,4.07
Orion Paperbacks,4.08
Orion Publishing,3.9333333333333336
Orion Publishing Co,4.13
Orion Publishing Co.,3.8
Orion Publishing Group,3.8833333333333333
Orion Publishing Group  Ltd.,3.94
Osprey Publishing,3.56
Other Press (NY),3.34
Our Daily Bread Publishing,4.45
Overeaters Anonymous  Incorporated,4.36
Overlook Press,3.63
Overlook TP,4.095000000000001
Owl Books,4.27
Owl Books (Henry Holt),3.63
Owl Books (NY),4.11
Owl Publishing Company,3.83
Owlet Paperbacks,4.15
Oxford University Press,3.897534246575342
Oxford University Press  USA,3.9506666666666668
P & R Publishing,4.05
P. F. Collier and Sons,3.97
Palgrave Macmillan,3.5471428571428567
Pan,3.8899999999999997
Pan Australia,3.83
Pan Books,3.96
Pan Childrens,3.62
Pan MacMillan,3.9625000000000004
Pan Macmillan Ltd. (London),3.95
Pan Publishing,3.9433333333333334
Panamericana Editorial,4.13
Pantheon,4.114285714285715
Pantheon Books,3.9375
Pantheon Books (NY),4.04
Panther,3.8
Paperback Library,3.94
Paraglyph Press,3.94
Paris Press,4.02
Park Street Press,4.19
Parker Publishing Llc,4.12
Patmos,3.75
Paul Dry Books,4.318
Paul Mellon Centre BA,4.06
Paul S. Eriksson,3.99
Paulist Press,4.255
Pavement Saw Press,4.25
Pavilion Press (Wi),4.16
Payot,3.965
Peachpit Press,3.81
Pearson,3.665
Pearson Education,4.62
Pearson Longman,3.52
Peerage Books,4.48
Pegasus Books,3.77
Pelican Publishing,3.885
Pelican Publishing Company,3.7
Pen & Sword Military,4.1
Penguin,3.9567241379310345
Penguin (Business),4.18
Penguin (Non-Classics),4.01
Penguin Audio,3.6399999999999997
Penguin Audio UK,3.96
Penguin Book Limited,3.87
Penguin Books,3.920383141762452
Penguin Books  Limited (UK),3.908
Penguin Books (London),3.92
Penguin Books (NY),4.29
Penguin Books (NYC),3.76
Penguin Books (Penguin Classics),3.62
Penguin Books /Penguin Classics,3.75
Penguin Books Australia Ltd.,4.029999999999999
Penguin Books Canada,4.19
Penguin Books Limited,3.58
Penguin Books Ltd,3.8473333333333333
Penguin Books Ltd.,3.8
Penguin Books Ltd. (London),3.93
Penguin Books USA Inc.,3.8
Penguin Books in association with Faber & Faber,3.94
Penguin Books/Penguin Popular Classics,3.5
Penguin Classic,4.11
Penguin Classics,3.944565217391304
Penguin Classics Deluxe Edition,4.58
Penguin Classics Deluxe Editions,3.97
Penguin Essential Editions,3.87
Penguin Global,4.109999999999999
Penguin Group,3.9033333333333338
Penguin Group (USA),4.083333333333333
Penguin Group(CA),3.9450000000000003
Penguin Press,3.915
Penguin Press HC  The,3.9075
Penguin Putnam,3.67
Penguin Signet,4.44
Penguin UK,3.945
Penguin Workshop,4.165
Penguin Young Readers,3.54
Penguin-HighBridge,3.86
Penguin/Viking Compass (Non-Classics),4.03
Perennial,3.82
Perennial / William Morrow / HarperCollins,3.83
PerfectBound,3.8
PerfectBound (HarperCollins),4.11
Perfection Learning,3.825
Perigee Trade,4.005
Peripatetic Press,3.94
Peter Owen Ltd,4.2
Peter Owen Publishers,3.92
Peter Smith Publisher,4.11
Peter Smith Publisher  Inc.,3.86
Pfeiffer & Company,4.05
Phaidon Press,4.24
Pharos Books,3.72
Philomel Books,4.1899999999999995
Phoenix,3.8716666666666666
Phoenix Audio,3.9850000000000003
Phoenix Books/University of Chicago Press (IL),3.95
Phoenix Press,4.26
Phoenix Press (UK),4.33
Phébus,3.99
Pi Press,4.18
Piatkus,3.42
Piatkus Books,4.154999999999999
Picador,3.7994999999999997
Picador  Macmillan Publishers Ltd,3.57
Picador USA,3.919285714285714
Picture Book Studio Ltd,3.73
Piemme,3.98
Pimlico,3.9966666666666666
Pimsleur,4.23
Pineapple Press,3.82
Pinnacle,3.9699999999999998
Pinter & Martin Ltd,4.07
Piper,3.77
Piper Taschenbuch,3.64
Piper Verlag,3.95
Pippin Publishing,3.4
Planeta,4.305
Planeta Publishing,3.8815384615384616
Plaza & Janes Editores  S.A.,4.02
Plaza & Janes Editores Sa,4.34
Plaza & Janés,3.75
Plaza & Janés Editores  S.A.,3.6
Plaza & Janés Mexico,3.7
Plaza y Janes,3.9285714285714284
Plaza y Janés,3.946
Plexus Publishing,3.33
Plexus Publishing Ltd,4.42
Plume,3.879722222222222
Plume (Penguin Books Ltd),3.8
Plume Books,3.8846153846153846
Pluto Press,4.12
Pocket,3.9805882352941175
Pocket Books,3.9031531531531534
Pocket Books / Simon & Schuster  Inc.,3.95
Pocket Books/Simon & Schuster (NY),4.2
Pocket Books/Star Trek,3.93
Pocket Books: Gallery Books,3.99
Pocket Star,3.861666666666667
Pocket Star Books,3.9259999999999997
Pogue Press,3.25
Points,3.55
Poisoned Pen Press,3.865
Polity Press,3.8
Polychrome Publishing Corporation,3.89
Polyface,4.01
Polygon,3.88
Pomegranate Communications,4.23
Poorhouse Press,4.08
Poppy,3.535
Porrua,3.9
Portable Press,3.57
Portfolio,3.87
Poseidon Press,3.86
Possibilities,4.285
Potomac Books,4.165
Power Press,4.05
Praeger,4.43
Praeger Publishers,4.2
Pragmatic Bookshelf,3.8525
Prentice Hall,3.8766666666666665
Prentice Hall PTR,3.0
Prentice Hall Press,3.76
Prentice Hall/Library of Liberal Arts,4.04
Prentice Hall/Scribner/Macmillan,3.84
Prentice Hall/Simon & Schuster Company (Englewood Cliffs  NJ),3.94
Presidio Press,4.31
Presses de La Cite,3.55
Prestel Publishing,4.03
Prestwick House,3.74
Prestwick House - (Literary Touchstone Classic),3.7
Price Stern Sloan,3.755714285714286
Prima Games,4.146
Prima Lifestyles,4.02
Princeton Architectural Press,4.109999999999999
Princeton University Press,4.073636363636364
Princeton University Press (NJ),4.195
Profile Books,3.465
Project Management Institute,3.77
Prometheus Books,4.038333333333333
Providence Forum Press,4.18
Psychology Press,3.995
Public Square Books,3.9133333333333336
PublicAffairs,3.565
Puffin,3.937142857142857
Puffin Audiobooks,4.31
Puffin Books,4.0192000000000005
Puffin Books (Penguin Books),4.28
Puffin Group,4.09
Punto de Lectura,3.8777777777777778
Purple House Press,4.36
Push,3.776
Putnam,3.9233333333333333
Putnam Adult,3.9899999999999998
Putnam Publishing Group,4.0424999999999995
Puzzle-Roca,3.57
Puzzle-Via Magna,3.66
Pygmalion Editions,4.12
Pyramid Books,3.92
Quality Paperback Book Club,4.25
Quarry Press,4.1
Quest Books,4.175000000000001
Quill,3.7800000000000002
Quinteto,3.89
RH Audio,4.265
RH Audio Price-less,3.89
RP Minis,3.16
Raintree,5.0
Random House,3.9979999999999998
Random House  Inc.,3.983333333333334
Random House  for Young Readers,4.33
Random House (NY),3.785
Random House (Vintage),3.64
Random House Anchor,3.98
Random House Audio,3.9748484848484846
Random House Audio Publishing Group,4.05
Random House Books for Young Readers,3.9323684210526317
Random House Children's Books,3.9333333333333336
Random House Inc.,4.45
Random House Large Print,3.79
Random House Large Print Publishing,4.11
Random House Mondadori,4.01
Random House Para Ninos,4.09
Random House Puzzles & Games,0.0
Random House Reference Publishing,3.9
Random House Trade,3.850714285714286
Random House Trade Paperbacks,3.9130434782608696
Random House UK Distribution,3.25
Random House UK Ltd (A Division of Random House Group),3.66
Random House Value Publishing,3.958888888888889
Random House Value Publishing/TheViking Press,4.17
Random House Vintage,3.97
Random House Vintage Books,3.96
Random House for Young Readers,4.226
Random House: Modern Library,4.08
Random house,4.04
Ravensburger Buchverlag,3.38
Rayo,3.8083333333333336
Razorbill,3.52
Rba Libros,4.21
Re/Search Publications,4.26
Reader's Digest Association,4.38
Readers Digest,4.58
Readers Digest.,4.23
Reaktion Books,3.96
Rebel Press,4.1
Reclam,4.11
Reclam  Ditzingen,3.84
Reclam  Leipzig,4.06
Record,3.78
Recorded Books,4.029999999999999
Recorded Books  Inc.,4.265
Red Dress Ink,3.59
Red Fox,3.9966666666666666
Red Hen Pr,3.96
Redleaf Press,4.35
Regal Books,4.35
Regan Books,3.28
ReganBooks,3.725
Regnery History,4.27
Regnery Publishing,3.8266666666666667
Renaissance Books,4.15
Replica Books,4.13
Revive Publishing,2.86
Rick Steves,4.1
Rider,4.36
Rivages,3.46
River City Publishing,4.13
Riverhead Books,3.81
Riverhead Hardcover,4.055
Riverrun Press (New York  NY),3.92
Rizzoli,4.175
Rizzoli International Publications,3.96
Roaring Brook Press,3.81
Robert Laffont,4.036666666666666
Robert Rose,4.25
Roberts Rinehart Publishers,3.45
Robson Books  London,3.65
Roc,3.9325
Roc Hardcover,3.9
Roc Trade,3.13
Roca Editorial,3.995
Rockport Publishers,3.93
Rodale Books,3.641666666666667
Ronin Publishing (CA),3.83
Rosenberg Publishing,3.58
Rough Guides,3.8600000000000003
Routledge,3.686060606060606
Routledge Classics,3.93
Routledge Falmer,3.96
Routledge Taylor & Francis Books Ltd imprint,4.17
Routledge/Taylor & Francis Ltd.,4.09
Rowman & Littlefield Publishers,3.7325
Rowohlt,3.96
Rowohlt Taschenbuch Verlag GmbH,3.59
Rowohlt Tb,3.8
Rowohlt Tb.,4.14
Rowohlt Verlag,3.99
Roxford Books,4.0
Rufus Publications,4.58
Running Press,3.7509090909090905
Running Press Adult,3.7100000000000004
Running Press Book Publishers,3.615
Running Press Kids,4.1
Rupa & Co,4.23
Russell Enterprises,4.55
Rutgers University Press,3.6224999999999996
Rux Martin/Houghton Mifflin Harcourt,4.31
Ryland Peters & Small,4.08
SCM Press,4.43
Saddleback Educational Publishing  Inc.,4.0
Sage Publications  Inc,3.87
Sage Publications Ltd,4.11
Sagebrush,4.02
Salamandra,3.8150000000000004
Salani,4.37
Salem Press Inc,0.0
SaltRiver,4.13
Samhain Publishing,3.73
Sams,3.96
Samuel French  Inc.,4.0649999999999995
Samuel French Ltd,3.96
San Val,3.88
Santillana USA Publishing Company,3.665
Sarah Crichton Books,4.16
Sasquatch Books,4.16
Saunders,4.33
Sceptre,3.915
Schirmer Mosel,5.0
Schirmer/Mosel,4.28
Schocken,4.041538461538462
Schocken Books,4.203333333333333
Schocken Books Inc,3.935
Scholastic,3.9757575757575756
Scholastic  Inc.,4.0088888888888885
Scholastic Audio Books,3.825
Scholastic Books,4.026666666666666
Scholastic Inc,3.71
Scholastic Inc.,4.059230769230769
Scholastic Nonfiction,4.12
Scholastic Paperbacks,3.88
Scholastic Press,4.085714285714285
Scholastic Reference,3.89
School Specialty Publishing,4.37
Schwartz & Wade Books,3.94
Science Fiction Book Club,4.21
Scribner,3.856164383561644
Scribner Book Company,3.755
Scribner Classics,4.26
Seal,3.7
Seal Books,3.9033333333333338
Seal Press,4.43
Secker,4.16
Secker and Warburg,3.94
See Sharp Press,3.74
Seix Barral,3.783333333333333
Self-Realization Fellowship Publishers,4.44
Semiotext(e),4.36
Sensory Resources,4.11
Sentient Publications,4.01
Serpent's Tail,3.79
Serpents Tail,4.17
Servant Publications,4.67
Seuil,4.09
Seven Stories Press,3.9266666666666663
Severn House,3.96
Severn House Publishers,3.757
Shadow Mountain,3.985
Shambhala,4.1242857142857146
Shambhala Publications,4.19
Shaw,3.98
Shaw Books,4.12
Shaye Areheart Books,3.68
Shepard Publications,3.77
Sholom Aleichem Family Publications,4.17
Shueisha,4.346666666666667
Sidgwick & Jackson Ltd,3.79
Sidran Press,4.25
Sierra Club Books,4.1
Siete Cuentos,3.73
Signet,3.9445454545454544
Signet Book,4.0088888888888885
Signet Books (NY),3.97
Signet Classic,4.07
Signet Classics,3.8813043478260867
Silhouette,3.8783333333333334
Silhouette Bombshell,3.72
Silhouette Books,3.7357142857142853
Silhouette Desire,3.6825
Silhouette Romance,3.6100000000000003
Silhouette Special Edition,3.96
Siloam,3.84
Simon  Schuster,3.925230769230769
Simon  Schuster Audio,3.815555555555556
Simon  Schuster Books for Young Readers,3.834285714285714
Simon  Schuster/Paula Wiseman Books,3.9225
Simon & Schuster,3.9634090909090913
Simon & Schuster (Trade Division),3.475
Simon & Schuster Adult Publishing Group,3.82
Simon & Schuster Aladddin Paperbacks,4.07
Simon & Schuster Audio,3.901
Simon & Schuster Books for Young Readers,3.936666666666666
Simon & Schuster Children's Publishing,4.25
Simon & Schuster Childrens Books,3.9971428571428573
Simon & Schuster Libros en Español,4.16
Simon & Schuster Paperbacks,4.06
Simon & Schuster Simon Pulse,3.85
Simon & Schuster; Media Tie-In edition,4.43
Simon Publications,4.32
Simon Pulse,4.033333333333333
Simon Schuster,3.8825000000000003
Simon and Schuster,3.9619999999999997
Simple Productions,3.62
Sinauer Associates,3.92
Skinner House Books,4.75
Sky Books (NY),3.89
Skylight Paths Publishing,3.95
Sleeping Bear Press,3.88
Small Beer Press,3.785
Smart Pop,3.6799999999999997
Smithmark Publishers,3.9
Smithsonian Books,4.47
Soft Skull Press,3.715
Soho Crime,3.7566666666666664
Soho Press,3.77
Sophia Institute Press,4.14
Soundings,4.09
Sounds True,3.82
Sourcebooks,3.9166666666666665
South End Press,4.17
South End Press (Boston),3.94
Southern Methodist University Press,4.31
Souvenir Press,4.036666666666666
Sovereign World,4.46
Spark Publishing,4.0
SparkNotes,3.7154545454545453
Speak,3.6900000000000004
Specialty Press,3.0
Spectra,3.9181818181818184
Spectra Books,3.8263636363636366
Spectra/Bantam Books (NYC),3.82
Sphere,3.67
Springer,3.254
Square Fish,4.086666666666667
Square One Publishers,5.0
St. Augustines Press,4.5
St. Martin's,3.96
St. Martin's Griffin,3.924186046511628
St. Martin's Minotaur,3.22
St. Martin's Paperback,3.44
St. Martin's Paperbacks,3.9318918918918917
St. Martin's Press,3.99
St. Martin's True Crime,3.79
St. Martins Press,3.84
St. Martins Press-3PL,3.9444444444444446
Stackpole Books,3.91
Stanford University Press,3.933333333333333
Stanford University Press (Stanford  CA),4.21
Star Trek,3.6799999999999997
Starcatcher Press,3.5949999999999998
Starfire,4.43
Starscape,4.026
State University of New York Press,3.73
Steerforth,3.835
Steerforth Press,4.19
Steidl,4.73
Stenhouse Publishers,4.12
Sterling,4.057333333333333
Sterling Children's Books,3.83
Sterling Publishing Co.  Inc.,4.12
Stewart  Tabori and Chang,3.67
Sticker Design (DC Comics),3.97
Stone Bridge Press,3.9850000000000003
Stonewall Inn Editions,4.37
Storey Publishing  LLC,3.725
Subterranean Press,3.62
Sudamericana,4.07
Suhrkamp,3.934
Suma,3.92
Suma de Letras Brasileiras,3.78
Sumach Press,3.43
Summit University Press,4.0
Sun & Moon Press,3.74
Sun and Moon Press,3.9000000000000004
Sunburst,3.72
Sunstone Press,3.39
Sutton,3.67
Sutton Publishing,3.57
Swallow Press,3.8
Sweet Valley,3.9299999999999997
T&T Clark Int'l,5.0
TEA,3.89
TIme Warner Books,4.0
TSR,3.5
TSR Inc.,4.0
TSR Inc./Wizards of the Coast,4.02
Tachyon Publications,4.033333333333333
Tanglewood,4.43
Tantor Media,3.76
Taplinger Publ. Company,3.44
Taplinger Publishing,4.08
Tarcher,3.62
TarcherPerigee,3.9975
Tarcherperigee,3.7328571428571427
Taschen,3.8449999999999998
Taunton Press,4.37
Tauris Parke Paperbacks,3.72
Taylor Productions Ltd,4.28
Teacher Created Resources,4.0
Teacher's Pet Publications,4.86
Teacher's Pet Publications  Inc.,1.0
Teachers College Press,4.0
Teaching Resources,4.2625
Temenos Press,3.4
Ten Speed Press,3.99
