Au8,Au8_CN,Au,Ag,Al,As,B,Ba,Ca,Ce,Co,Cr,Cu,Fe,Hg,K,La,Mg,Mn,Mo,Ni,P,Pb,S,Sb,Sr,Th,Ti,V,Y,Zn
0.06,9.23,0.65,0.5,6100,806,19,491,2600,118,11,52,6,22900,2,4900,67,300,25,2,9,1100,347,23300,179,23,28,19,9,7,93
0.07,13.46,0.52,0.6,7300,2552,23,349,2800,122,19,59,7,32600,7,5300,70,400,21,3,18,1190,321,34100,76,37,26,15,10,7,119
0.24,22.22,1.08,4.5,6000,26341,17,253,2500,102,118,55,7,29800,6,4500,58,400,28,3,130,1040,541,43200,349,27,23,15,9,6,189
0.06,7.06,0.85,3.4,7900,1409,14,211,2200,88,16,61,7,29300,4,5900,50,800,43,4,13,930,579,30200,315,13,22,18,9,6,224
0.23,18.55,1.24,3.6,6800,6064,22,297,2500,106,12,65,7,39700,5,5200,62,600,65,4,10,1000,620,43800,73,17,26,20,12,6,153
0.17,13.39,1.27,2.1,6000,2681,17,422,2100,97,10,76,5,26900,4,5100,55,400,103,6,9,950,410,27800,52,21,22,21,8,6,158
0.27,11.89,2.27,1.1,5500,8519,16,316,2100,96,12,59,4,31000,6,4700,55,500,161,4,12,890,293,35500,83,20,23,18,8,7,117
0.15,4.21,3.56,2.2,6300,3265,14,305,2400,105,10,63,8,34500,3,5200,60,600,376,5,9,1030,309,36500,2433,22,23,24,15,5,128
0.17,5.99,2.84,3.8,6500,934,16,268,2600,119,12,55,7,48800,2,5600,66,700,986,3,9,1220,733,47300,853,22,28,31,21,6,106
0.1,6.8,1.47,3.7,4700,1996,16,301,2500,115,12,48,8,44200,2,4100,65,600,924,3,10,1120,553,42800,397,21,25,22,15,6,99
0.08,9.2,0.87,3.9,6800,1248,22,279,2500,107,13,74,8,47500,3,5600,61,700,652,5,11,1150,655,46800,391,21,25,28,15,6,73
0.15,7.89,1.9,3.4,5800,2472,18,301,2500,98,12,62,7,40000,7,4800,56,700,656,5,10,1160,489,39000,374,18,24,21,12,6,79
0.46,12.23,3.76,4.1,5500,29266,18,227,2500,99,12,74,6,45400,6,4600,56,600,1573,3,12,1070,492,53500,1486,16,22,21,11,6,503
0.07,11.48,0.61,4.2,5600,1259,20,282,2200,92,11,74,6,45200,3,4700,52,500,1443,4,11,940,535,40200,258,16,22,21,11,6,331
0.09,17.31,0.52,3.5,6300,1875,22,381,2100,96,10,83,4,35400,2,5200,55,600,674,3,9,930,420,34000,285,18,23,21,10,6,219
0.12,17.14,0.7,4.2,6100,1449,20,360,2000,75,8,76,5,37600,1,4800,43,700,1140,3,8,880,449,34200,1103,15,20,19,9,5,47
0.12,4.92,2.44,3.0,6500,1204,25,352,2200,75,9,84,5,41500,2,5000,43,800,2900,1,9,840,386,27500,250,14,19,21,10,5,57
0.54,7.46,7.24,12.3,4800,37284,16,238,2100,60,14,70,11,33300,15,4100,34,500,422,4,11,890,1147,50700,2015,12,18,17,9,4,67
0.47,17.09,2.75,15.3,5800,24313,16,128,2100,63,19,83,173,49600,26,4600,37,500,63,3,11,910,5908,66500,1032,10,17,20,10,4,74
0.43,29.45,1.46,68.1,3300,97395,11,107,1900,44,11,74,1178,43000,174,2900,26,300,231,6,11,810,32088,97300,19735,10,13,13,10,3,318
0.14,6.03,2.32,2.7,6400,1761,14,196,2600,91,12,53,11,49400,3,5100,52,700,1155,4,11,1130,634,45200,402,15,20,22,12,5,80
0.08,4.62,1.73,1.8,6000,1662,11,387,2900,92,11,51,7,42500,2,4900,52,600,2239,3,10,1200,349,32600,315,33,22,16,12,6,82
0.12,7.1,1.69,2.3,7000,899,17,389,2700,92,11,57,7,35300,3,5300,53,600,840,3,9,1120,380,32800,314,34,22,17,13,6,85
0.14,6.86,2.04,6.0,5600,2760,14,254,2800,87,12,50,9,52400,3,4400,49,500,1712,5,11,1200,571,48200,417,14,24,19,12,5,213
0.44,12.79,3.44,8.7,5200,30816,14,124,2100,78,13,79,23,43800,16,4400,45,500,67,7,10,940,2368,61400,1278,12,19,19,10,4,151
0.12,6.38,1.88,3.2,5900,1321,16,264,2500,106,12,63,7,39600,7,5000,61,600,841,4,11,1140,250,36900,93,16,24,23,13,6,132
0.45,7.87,5.72,5.2,4900,32583,11,166,2400,93,10,78,11,47700,494,4400,54,500,1259,3,9,1110,330,58800,3611,14,24,19,12,5,178
0.38,4.85,7.84,7.1,4000,15284,9,129,1900,81,10,74,24,37600,850,3700,47,500,219,5,9,920,428,46400,1450,12,20,16,10,4,190
0.38,8.19,4.64,8.5,5800,14284,12,211,2600,99,10,70,11,44100,2501,4900,57,900,2310,3,9,1100,527,38800,1230,17,23,19,14,6,140
0.3,6.52,4.6,10.7,4600,9415,12,286,2800,91,11,60,6,48000,85,4000,51,1000,3155,4,10,1130,1018,34300,862,15,21,16,17,7,233
0.21,7.05,2.98,19.6,5700,12448,15,214,2300,83,13,64,153,37800,338,4700,46,800,983,4,12,1010,10293,46200,20907,14,19,22,14,5,132
0.27,7.26,3.72,2.3,4800,14757,13,197,2600,92,12,57,11,41800,29,4000,52,900,1753,5,12,1080,456,38000,2092,13,21,19,15,6,203
0.52,11.4,4.56,1.9,2700,127499,8,134,1900,58,7,49,8,31300,566,2500,33,500,1377,5,7,730,182,79900,14053,12,14,11,10,3,132
0.38,12.71,2.99,2.9,3400,36384,11,197,2300,75,12,58,24,32200,73,3000,42,500,965,5,13,1030,261,43600,3260,14,17,17,12,5,183
0.42,8.02,5.24,1.3,4600,43058,17,204,2200,75,11,114,13,33600,59,3800,42,600,859,6,13,970,291,48700,5772,16,17,16,11,5,79
0.12,13.33,0.9,0.8,3700,3885,10,358,3000,112,11,48,23,36700,15,3700,63,500,1899,3,10,1250,130,25500,177,21,22,12,10,8,48
0.26,9.39,2.77,1.0,4800,17665,17,290,2800,87,12,80,22,44900,39,3900,49,700,3768,2,13,1120,439,37800,1230,25,19,12,13,7,90
0.28,9.46,2.96,1.4,4300,11156,15,205,2500,102,12,50,45,32400,53,3800,58,600,1269,4,13,1160,403,32900,766,16,23,16,12,6,72
0.15,5.73,2.62,1.6,5100,2884,23,140,2200,60,13,79,35,33400,13,4100,33,800,1194,5,17,930,595,28800,471,11,13,24,13,6,74
0.12,6.49,1.85,1.8,5600,2644,26,126,2600,66,17,68,16,38200,5,4300,36,800,1177,4,19,1120,612,35100,551,17,13,23,16,7,102
0.06,8.11,0.74,1.2,5600,316,30,200,2400,71,14,67,8,38100,2,4300,38,800,1600,9,19,1030,322,30600,121,16,15,23,14,8,88
0.04,4.3,0.93,1.1,5600,946,24,157,2500,82,16,54,34,34000,2,4500,45,800,1307,3,22,1050,290,27500,140,17,15,24,11,7,76
0.04,7.02,0.57,0.6,4500,299,15,377,3000,124,11,43,20,36800,2,4200,70,600,2642,2,11,1270,144,21900,98,19,27,13,12,7,57
0.12,10.08,1.19,0.5,3900,2257,21,223,2900,131,11,28,21,24400,6,3800,76,400,834,4,10,1360,138,19400,100,21,28,14,11,7,77
0.35,12.07,2.9,0.8,4700,14163,16,198,2700,122,11,56,7,38400,11,4400,69,500,1576,2,9,1350,154,38800,725,19,23,16,9,6,63
0.21,6.65,3.16,1.1,4100,4704,19,177,2200,90,12,47,9,39400,13,3600,51,300,208,3,10,1130,153,45000,3166,12,20,10,6,4,44
0.35,7.54,4.64,1.5,3000,11731,9,207,2700,103,11,33,81,33700,52,3300,58,400,1106,2,11,1260,338,34300,617,17,20,11,7,6,56
0.18,6.16,2.92,1.2,5200,3374,41,261,2300,69,12,93,11,35100,13,4100,38,700,426,4,17,1150,274,35500,299,18,16,23,11,5,64
0.14,9.93,1.41,0.8,5300,4963,14,422,3100,119,12,73,5,39900,7,5000,68,600,2441,3,12,1440,216,25800,428,21,23,14,13,8,50
0.08,8.42,0.95,0.6,4600,3221,15,398,3100,119,10,63,4,44200,5,4400,68,600,2578,3,10,1280,133,26200,120,22,22,13,11,8,54
0.2,8.2,2.44,0.7,4400,6162,13,362,3000,113,11,65,5,35100,31,4100,65,500,1556,4,10,1370,182,26900,383,21,22,12,9,8,47
0.06,5.22,1.15,0.5,3500,2624,12,419,3200,108,9,55,5,45900,3,3500,60,700,3954,3,9,1350,150,24700,87,20,23,10,14,8,40
0.07,5.74,1.22,0.6,4700,2653,15,433,3100,105,10,73,4,47600,5,4400,60,700,4167,3,9,1370,151,25300,91,21,22,11,15,8,44
0.17,8.54,1.99,0.8,8800,10283,36,422,2700,111,12,90,6,28500,52,5700,62,500,292,4,13,1090,171,32600,375,23,22,22,13,8,44
0.04,3.67,1.09,0.9,11000,5150,39,599,2900,121,12,105,6,29000,12,7000,69,500,33,4,12,1160,192,31100,126,32,25,25,14,9,55
0.63,6.67,9.44,0.9,5900,37845,22,322,2600,98,11,93,6,43700,90,4200,55,700,2664,3,11,990,159,45800,2397,28,21,16,14,8,62
-0.02,0.88,2.26,1.0,7000,3089,27,496,2800,114,11,66,5,35400,5,4800,64,600,1253,3,9,1170,214,28800,104,23,24,19,12,9,47
-0.02,2.38,0.84,1.1,5400,3762,24,254,2700,95,12,59,6,33500,3,3900,53,400,453,3,11,1150,187,33700,81,20,22,21,11,7,44
0.11,6.15,1.79,1.1,7000,8502,22,384,2600,109,10,88,5,34800,8,4900,61,500,1117,4,9,1120,196,32700,354,20,23,20,12,8,48
-0.02,1.14,1.76,1.4,6800,2609,26,384,3100,123,12,70,5,58400,4,4700,70,1000,4380,3,13,1240,283,35600,134,19,26,21,13,9,64
0.21,5.83,3.6,4.3,8900,11608,46,346,2500,97,13,88,8,37100,24,5700,52,800,201,7,17,1120,498,43600,872,19,25,31,13,6,48
-0.02,2.06,0.97,5.2,6900,1547,39,229,2600,103,15,89,345,50900,14,4700,56,600,1036,8,17,1170,504,47200,359,17,25,28,12,7,117
0.27,5.63,4.8,14.0,8600,15086,19,333,2400,131,14,127,805,37200,158,6100,78,500,310,3,10,1080,5087,46500,2333,18,20,23,12,7,201
0.04,2.67,1.5,0.8,6800,7245,17,331,2700,126,10,73,12,26300,121,5000,71,400,136,3,9,1190,179,29200,308,21,23,19,10,7,58
0.11,3.99,2.76,0.6,5500,7384,13,391,2900,114,10,60,67,33700,214,4400,65,500,1909,3,8,1050,135,24700,606,23,22,19,10,7,59
-0.02,1.96,1.02,0.5,5800,3495,17,468,2800,125,10,72,48,29500,12,4500,70,400,1168,3,8,1110,95,22100,105,23,22,17,10,7,60
-0.02,3.13,0.64,0.6,6800,2119,20,335,2700,136,10,72,8,27000,8,5100,77,400,460,3,9,1170,129,25200,92,27,24,17,11,8,77
0.02,2.33,0.86,0.8,5000,5103,16,201,2700,116,11,54,4,32200,22,4000,65,400,652,11,9,1180,146,31200,122,25,23,14,10,8,72
0.15,25.86,0.58,0.6,6500,8701,23,337,2700,127,11,67,4,31500,6,4700,72,600,773,4,10,1180,123,31800,111,27,24,19,10,8,58
-0.02,2.94,0.68,1.0,11000,671,42,531,12600,67,12,57,3,30500,2,6100,38,5000,812,3,13,1140,185,29400,75,26,24,17,11,8,89
0.15,14.02,1.07,0.9,7800,9601,27,308,2700,55,13,55,4,33100,1,5000,29,1000,1682,4,9,1150,225,33900,699,15,21,24,9,6,39
0.04,1.23,3.24,2.0,7300,5534,19,36,2500,64,14,21,9,30300,7,4700,36,800,51,5,8,1060,1229,34500,858,11,21,23,10,5,212
0.02,0.43,4.6,2.3,8000,2055,26,37,2500,228,9,41,12,21600,7,5700,129,500,274,3,8,1130,1937,21400,942,23,24,18,10,7,731
-0.02,1.48,1.35,0.6,7900,1196,24,39,2800,127,9,36,4,32000,3,5600,73,800,1614,6,9,1180,207,22100,122,22,26,22,13,8,55
-0.02,1.2,1.66,1.4,8200,2791,23,347,2500,118,13,34,6,41800,5,5300,67,700,72,9,9,1140,280,45800,274,22,25,24,11,7,53
-0.02,0.73,2.74,0.5,7500,3661,26,451,2600,128,10,38,14,31300,7,5300,73,600,610,3,10,1110,102,29200,118,25,27,23,11,7,59
0.67,62.62,1.07,0.7,5400,1002,22,385,2200,107,9,72,63,18800,1,5200,59,400,1341,11,8,810,202,7200,439,17,26,22,10,13,330
2.39,67.9,3.52,0.6,3400,1232,10,501,700,99,5,40,17,20500,4,4400,54,200,36,4,6,550,199,5800,208,27,21,17,10,4,22
1.11,82.84,1.34,1.8,5000,1954,16,367,200,109,23,54,297,13800,3,5400,60,200,17,10,15,460,531,11300,179,38,25,17,8,8,172
0.42,41.18,1.02,2.0,7100,3592,19,327,200,120,32,67,117,11800,13,6100,67,300,15,10,33,540,213,10600,407,26,26,20,11,8,375
0.32,45.71,0.7,0.5,5300,3604,17,387,3300,122,19,57,8,45500,15,5300,68,900,3352,2,23,1240,548,16400,608,25,27,18,17,13,418
6.66,83.67,7.96,1.6,5700,1823,13,302,1700,113,12,71,13,16200,18,5400,63,400,753,3,15,870,281,9200,561,94,23,23,16,8,349
13.44,76.76,17.51,1.4,4200,395,9,207,500,119,6,58,12,3000,73,4200,67,200,27,3,6,460,440,2000,1284,192,22,19,17,7,230
9.37,43.04,21.77,2.2,5100,7819,9,65,500,105,21,80,16,11800,78,4800,59,300,28,5,16,290,250,13900,2018,50,21,21,20,6,836
0.4,17.54,2.28,0.9,5900,4310,10,256,2800,119,8,65,4,28100,16,5200,65,600,2841,4,9,1140,357,7400,576,18,25,22,19,14,1041
0.32,7.41,4.32,0.6,7100,8776,13,309,2900,110,11,76,3,42600,17,6400,60,800,3793,4,13,1140,221,15100,287,20,25,27,17,14,618
0.23,4.91,4.68,1.1,5400,4960,10,273,2700,106,10,78,4,29200,16,5200,59,500,2157,7,15,1180,268,15300,2542,17,23,23,16,16,2066
0.15,11.81,1.27,1.0,6900,3494,14,361,3200,110,20,62,7,44700,10,5800,61,900,4184,5,26,1220,883,13900,610,18,24,25,17,11,951
0.04,1.51,2.65,3.1,7100,6307,9,454,1800,106,35,66,70,26400,3,5400,58,300,50,5,45,1430,3129,26900,684,17,26,19,11,7,1973
0.02,2.41,0.83,6.2,7400,3766,9,454,2100,99,18,48,182,24100,3,4800,53,200,69,3,26,1550,8097,26400,1186,21,24,17,11,9,1640
0.06,4.8,1.25,1.3,10200,1522,20,184,400,107,15,69,26,23700,2,5200,59,300,20,2,17,1600,1782,25400,856,109,23,17,18,15,1086
0.08,9.76,0.82,0.9,9900,4478,25,605,800,111,50,50,41,18200,6,5200,61,300,16,2,51,1790,498,18600,345,104,25,16,15,13,1499
0.04,3.85,1.04,0.7,13700,4944,27,393,1200,126,34,52,33,21700,5,5300,70,400,83,7,32,1560,574,23100,3253,37,25,28,18,11,449
3.38,64.02,5.28,4.5,10000,16761,22,313,2600,75,25,64,664,52700,11,5100,42,700,1576,5,21,1180,1166,42300,1028,18,23,21,14,10,331
16.72,100.0,15.03,7.2,3600,4087,27,184,300,62,7,95,188,23900,40,3900,36,200,17,8,6,850,2109,15100,5863,32,23,18,12,5,62
4.2,48.5,8.66,0.8,6100,6928,30,367,200,115,11,78,352,27200,29,5900,65,300,15,4,16,570,231,20000,751,50,23,27,13,7,91
1.16,26.67,4.35,0.8,4800,3519,41,276,100,74,8,77,189,18000,38,4300,41,200,18,5,10,550,288,15400,270,14,24,27,8,5,51
1.24,42.61,2.91,2.6,5100,4537,35,212,200,63,6,135,93,22300,82,4400,35,200,20,3,7,1480,516,16300,980,26,24,28,22,5,24
0.65,9.7,6.7,0.7,5400,2432,31,342,100,114,9,85,123,20500,6,4700,66,200,29,5,11,810,173,19300,137,13,26,26,16,10,87
3.49,52.4,6.66,0.9,5700,5156,23,238,300,99,20,64,95,23200,24,4400,58,300,13,4,17,950,365,22700,5286,36,24,36,11,9,140
0.95,26.32,3.61,1.5,6000,4758,20,412,200,147,10,58,30,12500,8,5400,86,300,11,6,11,680,133,8800,210,46,27,18,9,12,46
0.11,5.67,1.94,1.9,9700,2559,14,96,200,127,25,76,70,26400,19,5200,76,400,15,10,36,440,360,27600,360,32,27,26,15,15,481
0.04,4.88,0.82,0.5,7800,3665,11,68,300,107,191,68,92,36600,17,4700,61,400,14,13,286,210,140,41500,738,35,28,24,18,17,1623
4.43,36.64,12.09,1.6,7700,2784,9,461,800,172,130,42,271,15300,15,3500,100,300,15,9,268,320,62,16900,3484,98,25,72,15,13,2271
4.62,89.36,5.17,2.2,18300,1134,19,772,1100,120,68,53,158,10900,6,4400,66,500,21,4,127,530,1284,11100,954,235,27,132,30,24,1303
5.92,48.56,12.19,1.1,11100,7774,15,52,600,77,796,55,34,93200,28,3800,41,400,40,4,1402,220,50,111100,3235,88,19,26,23,14,996
1.37,57.32,2.39,0.8,13100,1392,8,234,3900,116,23,50,46,30000,3,3400,64,4800,1086,2,53,1690,860,13200,133,72,29,249,38,15,657
0.17,4.21,4.04,0.8,11600,1051,8,74,4200,118,22,73,21,21200,8,2100,64,3500,991,3,45,1520,32,6100,70,90,29,181,39,17,166
0.17,10.56,1.61,0.8,6300,1764,14,551,2900,116,14,58,34,30400,3,5000,68,600,1295,4,14,1260,608,19400,1100,32,26,16,14,11,93
0.34,39.08,0.87,2.0,7100,1225,15,338,2600,80,14,96,11,27500,3,5600,46,500,594,4,14,1260,1384,23900,310,16,24,15,18,9,71
0.23,5.0,4.6,1.6,6900,5618,29,291,2100,89,29,123,64,38600,8,5700,50,500,456,7,28,1020,446,36000,169,18,21,24,14,8,112
0.17,8.85,1.92,0.7,6500,2631,18,325,2300,123,46,89,3,39800,4,5400,73,400,160,3,13,1090,424,42300,95,23,26,21,8,7,147
0.27,43.55,0.62,2.6,5400,6105,15,170,2700,97,17,90,218,31600,11,4200,53,400,1289,3,8,1240,762,28700,1058,14,27,14,13,9,80
0.13,8.23,1.58,1.0,5900,2180,21,184,3200,91,28,89,5,38100,1,3900,47,600,428,5,9,1120,319,39700,84,24,25,12,7,7,85
0.27,36.0,0.75,32.4,5200,3235,20,86,2300,46,11,100,1557,39700,43,4000,26,400,682,4,10,1000,2909,43300,1774,10,21,11,9,6,281
0.08,11.27,0.71,0.9,5900,667,17,130,2100,73,9,86,4,23300,2,4900,41,400,25,3,7,1020,433,26700,1487,11,23,17,10,7,72
0.06,11.32,0.53,1.0,5300,398,17,48,2200,76,10,88,4,29200,2,4400,41,300,28,4,9,1060,199,33100,153,11,25,14,10,6,76
0.13,10.74,1.21,0.6,5700,1798,20,180,2300,86,9,77,4,22200,2,4400,47,400,362,4,8,1100,272,23500,193,11,26,12,9,7,93
0.21,21.21,0.99,1.0,6800,4046,21,159,2400,49,13,81,4,40700,2,5100,27,500,1857,4,8,930,479,36700,286,11,23,16,6,8,52
3.51,64.05,5.48,3.2,4900,8221,24,132,1700,39,30,94,11,45000,3,3800,21,400,81,6,13,830,906,57200,521,10,21,14,3,6,79
0.15,20.0,0.75,0.7,5200,2483,14,65,2200,63,8,67,4,21400,2,4300,35,400,26,5,8,1100,474,25700,394,10,22,14,8,7,65
0.06,11.76,0.51,0.8,4600,469,15,173,2000,39,15,59,3,35700,1,3800,21,300,18,6,9,990,284,41700,180,11,21,12,4,6,53
1.11,50.0,2.22,0.5,3900,1288,8,318,1100,103,21,56,3,22300,7,4100,58,200,35,3,12,720,310,18400,260,17,22,11,8,18,22
0.21,20.59,1.02,0.6,6800,1395,15,335,3000,97,25,71,3,54200,4,5400,55,900,3549,3,12,1090,437,26200,153,16,22,17,14,10,134
0.88,47.57,1.85,0.6,4600,801,11,329,1700,92,23,63,3,31000,6,4100,53,200,297,4,14,880,274,23500,220,17,22,13,10,18,85
0.15,6.25,2.4,0.6,4600,676,12,477,2900,72,16,49,2,31000,2,3700,42,400,1880,3,17,1140,137,16300,154,12,20,10,8,12,131
0.17,9.5,1.79,1.3,4900,766,22,242,2700,102,15,48,3,28400,3,4000,59,400,707,3,17,1200,843,24700,476,12,23,12,10,11,95
1.66,17.53,9.47,1.4,3400,8403,15,111,1600,78,23,76,14,28800,18,3100,44,200,35,4,18,800,409,46400,33021,25,22,10,11,10,31
3.21,23.6,13.6,1.2,10300,4519,20,133,2600,97,59,70,15,24600,24,3900,55,400,215,3,106,2040,307,34900,34388,91,20,21,23,12,103
0.53,21.46,2.47,0.9,7500,4920,14,160,2300,86,129,92,3,32600,11,4300,50,300,31,3,123,2010,561,35100,140,11,25,13,13,9,430
0.06,3.59,1.67,1.4,6700,1260,8,132,2700,161,25,51,4,40300,2,3300,102,500,1898,2,27,1800,682,28800,1251,14,23,10,14,14,221
0.17,4.99,3.41,0.6,5600,2977,10,143,2800,51,18,60,5,27900,4,3500,29,600,1185,5,23,1530,204,19400,265,11,26,12,15,12,358
0.11,3.59,3.06,1.5,4500,1585,10,174,2300,23,19,81,8,36500,5,3600,12,200,48,3,21,1200,572,42600,8155,10,25,12,11,6,131
0.15,12.0,1.25,0.6,3600,424,10,270,2900,59,13,56,2,41700,1,3400,29,600,2296,3,15,1120,207,28200,158,13,27,10,11,10,102
0.08,9.2,0.87,0.8,4100,517,12,244,2800,33,19,63,2,34500,2,3700,17,400,1622,3,24,1140,542,26200,295,11,27,11,11,7,74
0.11,12.36,0.89,0.5,3700,668,13,316,3000,132,15,63,3,48000,3,3400,73,600,3223,4,19,1150,246,25600,147,17,21,11,9,9,75
0.42,14.48,2.9,0.5,3300,13062,7,156,2500,93,32,80,4,32100,4,3300,52,200,28,5,53,1170,224,42300,308,14,24,10,11,7,93
0.06,7.5,0.8,0.6,3700,687,9,247,2600,137,11,65,3,20500,2,3700,78,200,25,3,20,1260,296,21700,273,18,27,12,10,6,72
0.08,7.84,1.02,0.7,2800,279,7,283,2400,137,14,62,5,22900,1,2900,76,200,44,4,20,1140,248,24200,208,18,25,11,8,6,214
0.04,3.2,1.25,0.7,3800,692,11,212,2700,118,12,68,4,29000,2,3700,67,300,100,4,17,1280,332,30600,288,21,27,14,7,7,208
0.04,3.17,1.26,0.7,3200,928,11,233,2800,109,15,58,4,31900,2,3200,61,200,315,6,22,1290,282,32700,282,18,27,11,7,8,183
0.13,3.86,3.37,0.6,4300,4497,11,116,2900,115,11,54,27,26100,5,4300,65,300,791,3,15,1290,116,21300,197,16,27,13,15,7,86
0.32,5.63,5.68,1.4,3000,15284,16,97,2400,75,20,53,21,51600,8,3100,43,300,240,6,36,1090,298,71700,19121,12,20,11,12,4,85
0.13,11.61,1.12,0.9,6800,617,26,513,2900,89,16,59,3,33200,3,4600,53,600,1748,2,19,1170,493,20300,347,13,23,17,11,12,152
0.23,11.92,1.93,1.4,6300,739,21,447,1800,136,22,97,6,35200,3,4700,78,400,562,5,20,840,636,32500,678,19,27,17,13,13,42
7.81,36.11,21.63,1.6,6300,1847,23,426,1200,122,40,60,12,25300,23,4500,70,400,75,3,32,350,257,24600,3257,50,22,26,21,6,28
0.92,4.76,19.32,1.4,5900,7867,27,126,2400,112,58,56,47,30000,24,4300,65,400,53,4,78,1040,50,36800,8619,20,21,34,24,8,301
0.69,42.33,1.63,1.2,9000,3970,25,116,2600,123,95,79,2,28200,21,5900,72,600,235,2,118,1210,918,26400,144,21,26,31,17,9,429
0.36,22.5,1.6,6.0,8900,3328,19,269,2400,98,63,87,3,34800,14,4600,57,300,100,3,70,1760,5515,36800,315,14,27,15,13,11,220
0.63,39.87,1.58,0.9,9400,3387,20,188,2300,119,31,74,3,29400,10,4900,71,400,237,2,31,1650,607,28500,154,17,26,19,15,13,325
0.19,9.09,2.09,0.8,12600,4333,15,219,2300,132,84,68,2,29300,7,3900,80,300,254,3,115,2540,521,29000,141,15,26,15,19,13,157
0.08,12.12,0.66,1.3,13300,3303,17,262,2500,138,41,84,3,27500,5,4900,84,400,463,3,52,2430,932,24700,398,17,26,19,19,12,363
0.04,2.15,1.86,1.2,12300,2082,11,237,2300,130,63,57,4,25600,2,3900,79,200,100,2,74,3180,966,27200,2346,32,26,19,20,11,126
0.19,4.85,3.92,1.7,6100,1500,14,233,2500,29,16,83,6,38800,5,4200,15,500,1216,2,19,1160,818,34700,7368,12,25,20,14,9,132
0.13,10.24,1.27,0.6,4900,495,13,381,2700,57,14,65,2,37400,2,3900,28,500,1399,3,19,1190,209,30100,165,15,28,17,12,9,94
0.11,15.71,0.7,0.6,6000,411,17,285,3000,29,14,74,2,36000,2,4600,14,600,1940,2,19,1170,388,24400,123,12,29,17,12,8,92
0.17,20.24,0.84,0.7,5700,1243,13,302,3000,83,14,79,3,40800,2,4300,45,700,2073,3,17,1190,477,25600,312,18,26,19,12,9,51
0.57,28.93,1.97,0.5,3600,33304,7,63,2000,98,30,108,4,24600,17,3200,57,200,30,3,47,1020,146,43200,1116,14,20,14,12,7,287
0.06,10.91,0.55,0.8,4800,1460,16,305,2600,109,31,68,4,38000,1,3900,63,300,59,7,45,1230,303,41500,186,18,27,21,7,8,204
0.08,5.76,1.39,0.8,5300,3235,24,239,2800,127,12,53,5,31300,6,4500,75,300,269,5,17,1280,315,30800,587,18,29,16,13,7,68
0.42,19.44,2.16,1.2,4900,10686,19,209,2600,93,16,55,22,48000,73,3900,52,400,441,3,27,1170,328,56300,4322,16,24,14,13,6,76
0.02,3.33,0.6,0.5,5400,845,18,496,2700,70,8,48,2,30100,2,4000,38,500,1295,8,8,1130,284,22200,252,15,22,11,5,8,38
0.06,3.16,1.9,0.5,6000,801,15,442,2600,83,6,49,2,36500,2,4500,47,500,1943,7,8,1100,511,24800,429,15,21,15,9,9,48
0.06,1.5,4.0,1.1,5600,1796,9,401,2500,86,8,47,5,30200,2,4600,48,400,198,6,8,1100,878,33000,3364,16,22,21,12,8,52
0.08,4.97,1.61,1.9,5000,2003,10,296,2500,81,12,56,3,35700,1,4300,45,300,324,6,10,1170,2153,37600,697,14,23,15,7,9,45
0.04,3.7,1.08,1.2,5100,1311,11,297,2500,110,11,31,3,40100,3,4100,64,400,966,8,9,1200,958,36800,553,15,24,18,7,9,49
0.25,8.83,2.83,1.5,5600,5960,15,126,2500,88,8,69,5,41400,3,4300,49,400,2116,7,10,1000,599,32000,644,12,22,11,13,9,58
0.13,11.93,1.09,0.9,6600,1327,18,207,2300,106,10,45,3,28500,3,4900,62,400,42,5,8,1050,966,30700,483,14,23,17,9,8,58
0.17,17.71,0.96,0.9,5900,2395,11,45,2500,93,12,58,4,36500,2,4700,55,400,1100,7,11,1090,725,31900,425,12,24,18,10,9,64
0.42,29.37,1.43,16.9,5600,8478,10,32,2300,98,14,46,9,41400,4,4600,57,400,997,8,10,1040,17552,44600,655,14,23,19,12,8,82
0.11,21.57,0.51,0.6,8900,552,29,39,2500,130,11,42,3,33200,2,6300,75,500,1174,5,9,1120,144,26100,36,18,25,22,11,7,63
0.17,9.39,1.81,0.9,6400,4630,17,136,2600,130,9,43,112,21500,6,5300,76,300,24,6,8,1030,171,20100,120,27,26,12,9,8,78
0.06,2.71,2.21,1.4,8100,1632,18,342,3000,125,11,65,208,31200,13,6200,70,1800,1181,5,10,1260,1127,13000,275,24,28,17,23,12,132
0.11,8.4,1.31,4.3,7000,2118,17,240,3000,132,15,60,312,24100,10,5500,75,1600,814,8,12,1170,3108,10400,508,22,30,17,19,11,136
0.92,17.69,5.2,2.3,4700,1204,18,88,1400,57,16,108,53,30200,15,3600,32,200,19,8,7,570,333,41600,31303,26,19,11,19,6,48
0.67,22.33,3.0,0.6,4700,760,11,232,1500,117,18,78,5,29700,2,4100,67,200,16,4,9,710,437,31300,972,25,21,17,10,6,16
0.9,38.96,2.31,0.6,4600,2062,12,105,500,101,8,70,7,17700,3,4500,57,200,22,3,15,240,94,16200,161,28,24,14,8,7,94
1.87,54.36,3.44,1.8,6700,4341,20,348,2000,96,15,66,22,63600,14,4200,53,300,178,6,10,1200,275,21600,2191,101,21,16,20,11,136
0.19,25.68,0.74,1.3,6600,1204,22,235,1400,97,10,104,20,30800,2,4900,53,300,55,5,9,710,186,24600,354,42,24,16,11,7,19
