Level,Offers Remote,Publish Time,Salary,Title,Close Time,State,Collaboration Type
S,False,2020-01-22 12:39:18,<12MT,Senior Angular Developer,2020-03-23 03:00:05,C,FT
I,False,2020-06-16 12:54:57,<1MT,کارآموز NodeJs,2020-08-16 03:00:09,C,FT
S,False,2020-01-23 21:32:21,,Scrum Master,2020-03-24 03:00:05,C,FT
J,False,2020-01-22 13:42:34,,React js Developer,2020-03-23 03:00:05,C,FT
J,False,2020-01-22 13:42:23,,توسعه‌دهنده Backend,2020-03-23 03:00:05,C,FT
S,False,2019-12-08 15:28:16,>12MT,Senior Backend Developer,2020-02-07 03:00:05,C,FT
S,True,2020-05-30 10:29:57,,توسعه‌دهنده FrontEnd,2020-07-30 03:00:09,C,PT
S,True,2019-08-31 10:08:59,,توسعه‌دهنده React Native,2019-11-06 19:26:48,C,PR
J,False,2020-04-26 18:14:42,,QA Engineer,2020-06-26 03:00:06,C,FT
S,True,2019-12-29 13:10:19,<3MT,طراح بازی - برنامه‌نویس,2020-02-28 03:00:05,C,FT
S,True,2020-01-21 11:12:46,<8MT,برنامه‌نویس Java,2020-03-22 03:00:05,C,PT
J,False,2020-01-22 09:40:02,,برنامه‌نویس front-end مسلط به Angular,2020-03-23 03:00:05,C,FT
J,False,2020-01-04 14:42:48,,توسعه‌دهنده اندروید,2020-03-05 18:30:52,C,FT
S,False,2020-04-26 17:57:09,<6MT,Senior Laravel Developer,2020-06-26 03:00:06,C,FT
S,False,2020-08-24 10:54:09,,برنامه‌نویس Qt/QML,2020-10-24 03:00:09,C,FT
S,False,2020-04-29 18:05:33,,Senior Front-end Developer,2020-06-16 13:44:27,C,FT
,False,2018-10-18 12:20:08,,توسعه‌دهنده PHP,2018-12-17 12:20:08,C,
J,False,2020-01-15 17:42:23,,کارشناس تحلیل داده - Data Scientist,2020-03-16 03:00:06,C,FT
J,False,2020-06-16 13:52:06,,Data Scientist,2020-07-04 13:02:29,C,FT
S,True,2020-08-19 13:48:16,<12MT,برنامه‌نویس ارشد Front-end,2020-09-13 12:10:38,C,FT
S,False,2020-05-30 10:30:44,<12MT,توسعه‌دهنده PHP,2020-06-13 13:33:13,C,FT
,False,2017-05-06 16:31:06,,برنامه نویس PHP,2017-07-05 16:31:06,C,
S,False,2020-01-20 15:05:55,>12MT,توسعه‌دهنده Senior Front End,2020-03-21 03:00:05,C,FT
S,True,2020-01-18 10:49:21,,توسعه‌دهنده وردپرس,2020-03-19 03:00:05,C,FT
,False,2018-10-25 01:06:16,,برنامه نویس front-end,2018-12-24 01:06:16,C,
,False,2018-08-15 18:34:46,,برنامه نویس PHP,2018-10-14 17:34:46,C,
J,False,2020-01-15 17:43:35,,برنامه‌نویس React,2020-03-16 03:00:06,C,FT
J,False,2020-01-15 17:42:31,,برنامه‌نویس Backend,2020-03-16 03:00:06,C,FT
,False,2018-10-20 13:29:26,,Game developer,2018-12-19 13:29:26,C,
S,False,2020-05-30 10:31:04,>12MT,طراح UI/UX,2020-07-30 03:00:09,C,PR
S,False,2020-07-25 13:53:43,,UI/UX Designer,2020-08-10 16:37:17,C,FT
S,False,2020-08-19 13:55:15,<8MT,Business Analyst,2020-10-19 03:00:10,C,PT
J,True,2020-11-26 14:21:35,<4MT,برنامه‌نویس Angular Front-end,2021-01-26 03:00:11,C,FT
,False,2018-10-09 14:19:46,,برنامه نویس اندروید,2018-12-08 14:19:46,C,
S,True,2021-03-10 18:28:08,,برنامه‌نویس React - دورکاری,2021-04-27 03:00:11,C,PT
J,False,2020-01-15 15:12:36,,توسعه‌دهنده NET.,2020-03-16 03:00:06,C,FT
J,False,2020-06-17 14:20:11,<2MT,برنامه‌نویس PHP مسلط به WordPress,2020-08-17 03:00:09,C,FT
J,False,2020-01-15 15:12:31,,توسعه‌دهنده Front-end,2020-03-16 03:00:06,C,FT
J,True,2020-01-15 15:12:13,<2MT,برنامه‌نویس وب,2020-03-16 03:00:06,C,PR
J,False,2020-05-31 14:10:16,<3MT,توسعه‌دهنده Back-end,2020-07-31 03:00:08,C,FT
S,False,2020-06-24 10:02:50,<12MT,برنامه‌نویس ارشد React JS,2020-08-24 03:00:09,C,FT
S,False,2019-12-08 15:27:50,,توسعه‌دهنده Back-End,2020-02-07 03:00:05,C,FT
S,False,2020-02-01 15:32:19,<6MT,کارشناس تولید محتوا,2020-04-02 03:00:05,C,FT
S,False,2020-06-16 14:49:26,,برنامه‌نویس وب,2020-08-16 03:00:09,C,FT
J,False,2020-01-04 11:00:26,,برنامه‌نویس PHP,2020-03-05 18:30:52,C,FT
J,False,2020-01-14 13:59:10,<6MT,کارشناس آزمون و تضمین کیفیت,2020-03-15 03:00:05,C,FT
J,False,2020-01-14 13:58:58,<8MT,برنامه‌نویس سیستمی و عمومی,2020-03-15 03:00:05,C,FT
J,False,2020-01-15 15:12:26,,توسعه‌دهنده WordPress,2020-03-16 03:00:06,C,FT
S,False,2020-01-14 11:36:37,,برنامه‌نویس Android,2020-03-15 03:00:05,C,FT
J,False,2020-01-14 11:18:50,,توسعه‌دهنده اندروید,2020-03-15 03:00:05,C,FT
M,False,2020-01-14 10:41:26,<6MT,توسعه‌دهنده بلاک چین,2020-03-15 03:00:05,C,FT
J,True,2020-01-14 10:43:57,<4MT,توسعه‌دهنده پایتون,2020-01-17 00:27:51,C,PR
S,False,2020-01-11 14:55:08,<8MT,Backend Developer,2020-03-12 03:00:05,C,FT
S,False,2021-06-19 18:24:55,<12MT,Senior Python (Django) Developer,,PB,FT
S,False,2020-01-13 15:49:19,<8MT,توسعه‌دهنده iOS,2020-03-14 03:00:05,C,FT
,False,2018-07-21 15:10:54,,برنامه نویس Python Django,2018-09-19 15:10:54,C,
S,True,2020-05-30 12:15:21,<4MT,برنامه‌نویس PHP مسلط به وردپرس,2020-07-30 03:00:09,C,FT
S,False,2020-07-27 15:18:06,,مدیر محصول,2020-08-10 16:37:16,C,FT
S,False,2020-09-23 18:38:50,<8MT,Senior Back-End Developer (PHP),2020-11-23 03:00:11,C,FT
S,False,2020-11-26 14:20:34,<6MT,توسعه‌دهنده Back-end لاراول,2021-01-26 03:00:11,C,FT
J,True,2020-01-12 14:47:41,,برنامه‌نویس Python,2020-03-13 03:00:05,C,FT
S,False,2020-02-02 15:05:11,,توسعه‌دهنده Front End,2020-04-03 03:00:05,C,FT
S,False,2020-01-12 10:25:45,<8MT,برنامه‌نویس Front-End(Angular),2020-03-13 03:00:05,C,FT
J,True,2020-01-12 14:46:52,,توسعه‌دهنده PHP,2020-03-13 03:00:05,C,FT
S,True,2020-04-11 11:07:05,>12MT,توسعه‌دهنده Back-end,2020-05-30 11:27:42,C,PR
J,True,2020-01-12 14:46:18,,Net-Programing,2020-03-13 03:00:05,C,FT
J,False,2020-01-09 16:12:23,<4MT,توسعه‌دهنده Front End,2020-03-10 03:00:05,C,FT
J,False,2020-01-11 16:50:00,,برنامه‌نویس ASP.NET,2020-03-12 03:00:05,C,FT
,False,2018-05-29 16:33:56,,Senior Back-End Developer,2018-07-28 16:33:56,C,
J,False,2020-01-11 16:49:46,,کارشناس پشتیبانی فنی,2020-03-12 03:00:05,C,FT
J,False,2020-01-11 14:53:22,,Data Engineer,2020-03-12 03:00:05,C,FT
S,False,2020-01-11 14:53:14,,برنامه‌نویس ارشد جاوا,2020-03-12 03:00:05,C,FT
S,False,2020-01-09 16:11:36,<8MT,توسعه‌دهنده اندروید - Android Developer,2020-01-30 12:41:20,C,FT
,False,2018-05-27 15:04:22,,توسعه دهنده  Django,2018-07-26 15:04:22,C,
J,False,2020-01-08 11:40:55,<6MT,توسعه‌دهنده وب Back end,2020-02-25 19:13:13,C,FT
S,False,2020-01-08 11:41:06,,توسعه‌دهنده Front End,2020-03-09 03:00:05,C,FT
I,False,2020-01-12 14:45:14,,برنامه‌نویس کامپیوتری,2020-03-13 03:00:05,C,FT
S,False,2020-01-09 16:12:16,<12MT,Artificial Intelligence Senior Engineer,2020-03-10 03:00:05,C,FT
S,False,2019-11-09 16:41:09,<6MT,طراح و توسعه‌دهنده وب و SEO,2020-01-09 03:00:04,C,FT
J,False,2019-12-22 10:18:02,<4MT,توسعه‌دهنده Front End,2020-02-21 03:00:04,C,FT
S,False,2020-01-09 16:14:10,<12MT,Senior Software Engineer - Platform Team,2020-03-10 03:00:05,C,FT
J,False,2020-07-18 12:31:32,<4MT,کارشناس تست نرم افزار,2020-09-17 03:00:10,C,FT
S,False,2020-01-09 16:13:09,,توسعه‌دهنده Front End,2020-03-10 03:00:05,C,FT
J,False,2020-01-18 10:48:01,,برنامه‌نویس دات نت,2020-02-05 19:22:03,C,FT
S,False,2020-01-08 11:42:49,<12MT,Senior Back End Developer,2020-02-03 13:23:36,C,FT
J,False,2020-01-11 14:54:17,<6MT,برنامه‌نویس اندروید,2020-03-12 03:00:05,C,FT
J,False,2020-01-11 14:54:37,<6MT,برنامه‌نویس iOS,2020-03-12 03:00:05,C,FT
J,False,2020-01-13 15:50:36,,توسعه‌دهنده وب (Angular),2020-03-14 03:00:05,C,FT
,False,2018-02-27 20:29:35,,android pro,2018-04-28 21:29:35,C,
S,False,2020-01-11 14:54:54,<8MT,توسعه‌دهنده دات‌نت - Backend,2020-03-12 03:00:05,C,FT
S,False,2020-04-17 11:58:03,<12MT,برنامه‌نویس NodeJS,2020-06-17 03:00:06,C,FT
S,False,2020-01-25 10:36:00,,برنامه‌نویس واقعیت افزوده (AR),2020-03-26 03:00:05,C,FT
S,False,2020-04-17 11:57:24,,برنامه‌نویس پایتون,2020-06-17 03:00:06,C,FT
,False,2018-02-08 11:28:21,,برنامه‌نویس جاوا,2018-04-09 12:28:21,C,
,False,2018-01-28 19:27:50,,برنامه نویس,2018-03-29 20:27:50,C,
J,False,2020-01-07 16:30:54,<6MT,برنامه‌نویس vue.js,2020-03-08 03:00:04,C,FT
J,False,2020-03-31 13:51:29,<4MT,برنامه‌نویس SQLSERVER,2020-05-31 03:00:05,C,FT
,False,2017-12-30 16:24:46,,Front-End Developer,2018-02-28 16:24:46,C,
J,False,2020-01-14 10:44:13,<3MT,توسعه‌دهنده PHP,2020-03-15 03:00:05,C,FT
S,False,2020-03-31 13:50:54,<6MT,برنامه‌نویس Vue.js / Nuxt.js) Front End),2020-05-31 03:00:05,C,FT
S,False,2020-01-12 15:40:31,<8MT,توسعه‌دهنده Back-end,2020-03-13 03:00:05,C,FT
,False,2017-12-11 12:16:07,,پروژه شرکت دانش بنیان,2018-02-09 12:16:07,C,
S,False,2020-01-13 12:07:42,<8MT,کارشناس هوش مصنوعی,2020-03-14 03:00:05,C,FT
J,False,2020-01-18 10:47:52,<6MT,React Native Developer,2020-03-19 03:00:05,C,FT
J,False,2020-12-12 11:43:16,,برنامه‌نویس موبایل (Android),2021-02-11 03:00:11,C,FT
S,False,2020-06-19 16:24:12,<6MT,توسعه‌دهنده Back-end,2020-08-19 03:00:09,C,FT
S,False,2020-01-14 11:33:02,,برنامه‌نویس iOS,2020-03-15 03:00:05,C,FT
J,True,2020-01-14 10:41:33,,توسعه‌دهنده PHP,2020-03-15 03:00:05,C,PT
J,False,2020-08-27 11:57:45,,برنامه‌نویس ASP.NET,2020-09-30 15:26:00,C,FT
S,True,2021-01-04 10:33:16,,توسعه‌دهنده وب و ادمین ورد پرس,2021-03-06 03:00:10,C,PT
J,False,2020-09-27 15:30:17,<6MT,توسعه‌دهنده Front-end,2020-11-27 03:00:10,C,FT
,False,2017-10-21 00:02:53,,Senior PHP developr,2017-12-20 00:02:53,C,
S,False,2020-01-14 12:21:41,,مهندس نرم افزار,2020-03-15 03:00:05,C,FT
J,False,2020-01-14 11:35:09,,توسعه‌دهنده وب,2020-03-15 03:00:05,C,FT
S,False,2020-01-15 15:13:25,,توسعه‌دهنده فرانت اند (سرباز امریه),2020-02-18 14:55:02,C,FT
S,False,2020-01-07 15:25:04,,توسعه‌دهنده React native,2020-03-08 03:00:04,A,FT
S,False,2020-08-10 11:50:26,<6MT,Scrum Master,2020-08-25 14:50:36,C,FT
S,True,2020-06-19 16:24:20,<8MT,توسعه‌دهنده Front-end,2020-08-19 03:00:09,C,PR
S,False,2020-01-15 17:44:00,,توسعه‌دهنده دات‌نت,2020-03-16 03:00:06,C,FT
J,False,2020-01-07 10:36:35,,توسعه‌دهنده Front End,2020-03-08 03:00:05,C,FT
J,False,2020-01-18 10:47:45,<3MT,Front-end Developer,2020-03-19 03:00:05,C,FT
I,True,2020-05-16 11:44:04,<6MT,توسعه‌دهنده لاراول,2020-06-17 21:21:20,C,FT
S,False,2020-01-18 10:49:10,,برنامه‌نویس ارشد وردپرس,2020-03-19 03:00:05,C,FT
S,False,2020-01-18 10:49:29,,توسعه‌دهنده Backend,2020-03-19 03:00:05,C,FT
J,False,2019-11-12 16:34:16,,کارشناس خودکارسازی تست نرم افزار,2020-01-12 03:00:05,C,FT
S,True,2020-08-20 10:00:57,,توسعه‌دهنده دات نت Full-Stack,2020-10-20 03:00:09,C,FT
J,True,2020-05-31 12:24:01,<3MT,توسعه‌دهنده ReactJS (دورکاری),2020-07-31 03:00:08,C,PT
S,False,2020-07-25 13:52:11,,(DevOps Engineer (SRE,2020-08-10 16:37:17,C,FT
S,False,2019-12-08 12:41:49,<4MT,طراح و توسعه‌دهنده #C,2020-02-07 03:00:05,C,FT
J,False,2020-04-26 12:40:55,,frontend developer freelancer,2020-06-26 03:00:06,C,PT
S,False,2020-06-12 12:38:59,,توسعه‌دهنده Front-end,2020-08-12 03:00:09,C,FT
S,False,2020-01-06 17:55:02,<12MT,توسعه‌دهنده Back-end,2020-03-07 03:00:05,C,FT
I,False,2021-06-07 17:40:06,,کارآموز تضمین کیفیت و آزمون,,PB,PT
S,False,2020-01-22 10:12:48,,توسعه‌دهنده PHP,2020-03-23 03:00:05,C,FT
J,False,2020-12-12 11:38:03,,برنامه‌نویس Python,2021-02-11 03:00:11,C,FT
S,True,2020-01-21 11:10:21,<8MT,برنامه‌نویس PHP,2020-03-22 03:00:05,C,PT
S,False,2020-01-21 11:07:37,,توسعه‌دهنده Front-end,2020-03-22 03:00:05,C,FT
S,False,2020-01-25 10:37:09,,توسعه‌دهنده ارشد اندروید,2020-03-26 03:00:05,C,PT
J,False,2020-06-12 12:38:49,,توسعه‌دهنده Python-Django,2020-08-12 03:00:09,C,FT
J,False,2020-01-05 16:14:47,<4MT,Scrum master,2020-01-12 10:41:08,C,FT
S,False,2019-08-17 09:51:02,,توسعه‌دهنده Python/Django,2019-10-17 03:00:04,C,FT
S,False,2020-01-25 12:55:44,<12MT,Senior C# Developer,2020-03-26 03:00:05,C,FT
S,False,2020-01-25 12:55:32,,برنامه‌نویس PHP/Laravel) Back-End),2020-03-26 03:00:05,C,FT
,False,2017-08-13 14:52:14,,برنامه نويس نرم افزارهای تجاری/سازمانی,2017-10-12 13:52:14,C,
S,False,2020-06-12 12:39:59,<8MT,برنامه‌نویس AngularJS,2020-08-12 03:00:09,C,FT
S,False,2019-12-14 13:56:26,,برنامه‌نویس WPF,2020-02-13 03:00:05,C,FT
J,False,2020-01-05 23:56:42,,توسعه‌دهنده Front End,2020-03-06 03:00:05,A,FT
S,False,2020-01-09 16:10:49,<8MT,Front-End Developer,2020-03-10 03:00:05,C,FT
I,False,2020-01-26 09:42:43,<2MT,کارآموز برنامه‌نویسی فرانت اند(React),2020-02-02 12:03:42,C,PT
J,False,2020-01-21 13:02:20,<6MT,پشتیبانی شبکه‌های کامپیوتری,2020-03-22 03:00:05,C,FT
J,False,2020-01-22 10:01:08,<4MT,برنامه‌نویس iOS,2020-03-23 03:00:05,C,FT
J,False,2020-01-22 09:45:40,<6MT,برنامه‌نویس بک اند ( PHP ),2020-03-23 03:00:05,C,FT
S,False,2020-06-12 12:39:10,,برنامه‌نویس Qt,2020-08-12 03:00:09,C,FT
J,False,2020-01-25 10:36:56,,توسعه‌دهنده اندروید,2020-03-26 03:00:05,C,PT
J,False,2020-01-25 10:37:03,,توسعه‌دهنده Front-End,2020-03-26 03:00:05,C,PT
S,False,2020-06-01 11:26:45,,(Senior Back-End Developer (PHP/Laravel,2020-08-01 03:00:09,C,PT
J,False,2020-01-05 11:15:03,<8MT,برنامه‌نویس #C,2020-03-05 18:30:52,C,FT
S,False,2020-01-23 21:31:23,<6MT,برنامه‌نویس ReactJS,2020-03-24 03:00:05,C,FT
S,False,2020-09-22 11:54:23,<8MT,برنامه‌نویس .NET,2020-11-22 03:00:11,C,FT
S,False,2020-01-23 21:30:24,,UI/UX Designer,2020-03-24 03:00:05,C,FT
S,False,2020-01-23 21:29:23,<8MT,برنامه‌نویس php,2020-03-24 03:00:05,C,FT
J,False,2020-01-23 21:24:30,,توسعه‌دهنده Back-End,2020-03-24 03:00:05,C,PT
S,False,2020-07-01 15:26:56,<4MT,توسعه‌دهنده Back-end,2020-08-31 03:00:09,C,FT
S,False,2020-04-18 18:06:01,<4MT,توسعه‌دهنده Front-end,2020-06-18 03:00:05,C,FT
S,True,2020-04-18 18:05:50,<6MT,کارشناس برنامه‌نویسی بک اند Node.js,2020-06-18 03:00:05,C,FT
S,False,2020-09-21 15:10:56,<12MT,برنامه‌نویس (Front-end (ReactJS,2020-10-05 08:55:09,C,FT
S,False,2020-01-25 10:36:28,,توسعه‌دهنده وب (Full stack),2020-03-26 03:00:05,C,FT
S,False,2019-12-30 16:12:52,,Senior Front-end Developer,2020-02-29 03:00:05,C,FT
J,False,2020-01-25 10:35:48,<6MT,برنامه‌نویس PHP,2020-03-26 03:00:05,C,FT
S,False,2020-02-04 15:00:37,,برنامه‌نویس ارشد Go,2020-04-05 03:00:05,C,FT
S,False,2020-02-05 17:18:19,<8MT,برنامه‌نویس وردپرس,2020-04-06 03:00:05,C,FT
S,False,2019-12-31 15:06:44,,برنامه‌نویس ارشد PHP,2020-03-01 03:00:05,C,FT
S,False,2020-10-14 10:08:28,,برنامه‌نویس بک اند مسلط به net core.,2020-12-14 03:00:11,C,FT
S,False,2020-01-18 12:00:59,<3MT,توسعه‌دهنده ارشد Back-end,2020-01-18 15:02:29,C,FT
S,False,2019-11-05 13:40:44,<3MT,برنامه‌نویس فول استک,2020-01-05 03:00:05,C,FT
S,False,2020-06-01 11:57:33,<8MT,برنامه‌نویس ارشد اندروید Kotlin,2020-08-01 03:00:09,C,FT
S,True,2021-01-19 15:46:07,,کارشناس ارشد پردازش زبان طبیعی,2021-03-18 03:00:11,C,FT
J,True,2020-07-21 16:27:44,<3MT,توسعه‌دهنده Frontend,2020-09-20 03:00:09,C,PR
S,False,2020-01-26 09:41:59,,برنامه‌نویس Front-End(Angular),2020-03-14 14:30:54,C,FT
M,True,2020-01-26 14:27:01,,CTO / Chief Professional Coder,2020-03-27 03:00:05,C,FT
S,False,2020-01-26 11:21:39,<6MT,برنامه نوبس بک اند,2020-03-27 03:00:05,C,FT
J,False,2020-01-27 14:02:46,<4MT,برنامه‌نویس لاراول,2020-03-28 03:00:05,C,FT
S,False,2020-01-01 14:25:32,,توسعه‌دهنده React Native,2020-03-02 03:00:05,C,FT
S,True,2020-02-01 11:03:39,<8MT,برنامه‌نویس NodeJS و React (دورکاری),2020-04-02 03:00:05,C,FT
S,False,2020-01-01 12:31:42,<6MT,PHP Developer,2020-03-02 03:00:05,C,FT
J,True,2020-02-01 11:02:42,<1MT,برنامه‌نویس وب,2020-04-02 03:00:05,C,PT
S,False,2020-10-08 12:03:58,<6MT,طراح قالب وردپرس,2020-12-08 03:00:12,C,FT
S,False,2019-12-31 16:40:38,<6MT,Full stack web developer,2020-02-25 19:13:36,C,FT
J,False,2019-10-03 15:12:56,,Associate Product Manager,2019-12-03 03:00:05,C,FT
S,True,2020-10-08 12:02:15,<6MT,توسعه‌دهنده ReactJS (دورکاری),2020-12-08 03:00:12,C,PT
J,False,2020-02-01 11:02:58,,برنامه‌نویس .Net,2020-04-02 03:00:05,C,FT
S,False,2020-02-01 11:02:27,<6MT,توسعه‌دهنده Front End,2020-04-02 03:00:05,C,FT
M,False,2020-02-02 12:33:25,,مدیر فنی و Full-Stack developer,2020-03-14 14:31:05,C,PT
J,False,2020-12-12 10:46:23,<3MT,برنامه‌نویس C++,2021-02-11 03:00:11,C,FT
,False,2017-06-18 15:21:55,,طراحی سایت پارسایا,2017-08-17 15:21:55,C,
I,False,2020-07-28 12:08:10,,کارآموز برنامه‌نویسی Android,2020-09-27 03:00:10,C,FT
S,False,2020-02-01 15:32:00,<8MT,"برنامه‌نویس فول استک C#, Asp.net",2020-04-02 03:00:05,C,FT
J,False,2020-04-19 14:45:27,<2MT,برنامه‌نویس اندروید و وب,2020-06-19 03:00:05,C,FT
S,False,2019-12-31 16:39:36,<4MT,برنامه‌‌نویس Full-Stack,2020-03-01 03:00:05,C,FT
J,False,2020-02-02 18:48:45,<8MT,توسعه‌دهنده Backend,2020-04-03 03:00:05,C,FT
S,True,2020-09-13 15:05:43,<12MT,Senior Full-Stack Developer,2020-11-13 03:00:09,C,PT
S,False,2020-04-19 11:06:55,<12MT,Senior React Native Developer,2020-06-19 03:00:06,C,FT
J,False,2020-02-02 18:53:04,<4MT,برنامه‌نویس فرانت اند,2020-04-03 03:00:05,C,FT
I,False,2019-12-31 14:09:51,<1MT,کار آموز Python,2020-01-22 19:38:04,C,PT
J,False,2020-02-02 18:52:46,<3MT,کارشناس تست نرم افزار,2020-04-03 03:00:05,C,FT
S,False,2019-12-31 16:38:30,<8MT,React js Developer,2020-03-01 03:00:05,C,FT
S,True,2020-02-03 11:22:08,<4MT,توسعه‌دهنده پایتون / جنگو,2020-04-04 03:00:05,C,PR
S,False,2020-06-03 21:43:59,<12MT,Senior Software Engineer,2020-08-03 03:00:09,C,FT
S,False,2020-08-02 14:51:37,,Full stack developer,2020-08-10 16:37:16,C,FT
S,False,2020-04-19 11:06:46,<12MT,ReactJs) Senior Front-end Developer),2020-06-19 03:00:06,C,FT
S,False,2019-12-31 10:55:54,<6MT,برنامه‌نویس Front-End (Vue.js),2020-03-01 03:00:05,C,FT
S,False,2020-06-12 12:38:32,<12MT,Senior Java Developer,2020-08-12 03:00:09,C,FT
S,False,2019-12-30 16:11:44,,Senior Python/Django Developer,2020-02-29 03:00:05,C,FT
S,False,2020-02-03 16:16:07,<12MT,Senior Back End Developer,2020-04-04 03:00:05,C,FT
S,False,2019-12-30 16:11:34,,Senior Software Engineer,2020-02-29 03:00:05,C,FT
S,False,2020-02-04 11:32:06,,برنامه‌نویس NET.,2020-04-05 03:00:05,C,FT
J,False,2020-02-03 12:03:40,<6MT,توسعه‌دهنده Laravel,2020-04-04 03:00:05,C,PT
J,True,2019-12-14 13:56:08,<3MT,توسعه‌دهنده اندروید,2020-02-13 03:00:05,C,FT
S,False,2020-02-04 11:34:47,,برنامه‌نویس وب,2020-04-05 03:00:05,C,FT
J,False,2019-10-03 15:11:45,,Product Manager,2019-12-03 03:00:05,C,FT
S,False,2021-01-19 15:43:08,<8MT,توسعه‌دهنده وب PHP ، Back-end,2021-03-18 03:00:11,C,FT
S,False,2020-02-04 11:35:00,>12MT,Senior Backend Developer,2020-04-05 03:00:05,C,FT
S,False,2020-02-04 15:15:37,<6MT,توسعه‌دهنده Full-stack,2020-04-05 03:00:05,C,FT
S,False,2020-02-04 11:32:25,<3MT,برنامه‌نویس وب yii framework,2020-04-05 03:00:05,C,FT
M,False,2019-12-29 15:34:11,,مسئول پشتیبانی فنی,2020-02-28 03:00:05,C,FT
S,False,2019-12-29 14:49:03,,برنامه‌نویس ارشد iOS,2020-02-28 03:00:05,C,FT
J,True,2019-12-30 16:10:49,<2MT,توسعه‌دهنده Front End,2020-02-29 03:00:05,C,PR
J,False,2020-04-04 14:45:33,<8MT,توسعه‌دهنده Joomla,2020-06-04 03:00:05,C,FT
I,False,2020-08-23 13:32:28,<1MT,کارشناس Help-Desk,2020-09-23 17:07:54,C,FT
J,False,2019-12-30 11:26:08,,برنامه‌نویس #C - وب و ویندوز,2020-02-29 03:00:05,C,FT
J,False,2020-01-15 15:11:42,<3MT,برنامه‌نویس c#,2020-03-16 03:00:06,C,FT
J,False,2019-11-09 11:36:55,,توسعه‌دهنده Backend,2020-01-09 03:00:04,C,FT
S,False,2019-12-29 14:40:10,,توسعه‌دهنده Frontend,2020-02-28 03:00:05,C,FT
S,False,2019-12-29 14:39:55,,برنامه‌نویس(Full Stack Engineer (Node JS,2020-02-28 03:00:05,C,FT
J,True,2019-12-29 10:51:34,<4MT,R developer,2020-02-28 03:00:05,C,FT
S,False,2020-02-04 17:27:51,,Golang developer,2020-04-05 03:00:05,C,FT
,False,2017-07-30 09:23:17,,برنامه نویس react native,2017-09-28 08:23:17,C,
S,False,2020-04-04 17:04:09,,Senior Android Developer,2020-06-04 03:00:05,C,FT
,False,2017-05-03 21:04:04,,برنامه نویس Full Stack,2017-07-02 21:04:04,C,
J,False,2019-12-28 11:40:12,,برنامه‌نویس java - تمام وقت خانم,2020-01-27 09:48:36,C,FT
S,False,2019-12-29 10:51:43,,برنامه‌نویس (PHP (Laravel,2020-02-28 03:00:05,C,FT
S,False,2020-02-05 13:02:54,>12MT,توسعه‌دهنده PHP) Back-End),2020-04-06 03:00:05,C,FT
J,True,2020-04-04 15:31:28,<3MT,توسعه‌دهنده Front-end,2020-06-04 03:00:05,C,FT
S,False,2019-12-16 15:45:30,,UI Developer,2020-02-15 03:00:05,C,FT
J,False,2020-04-04 14:45:17,,Data Engineer,2020-06-04 03:00:05,C,FT
S,False,2020-02-05 16:01:08,,توسعه‌دهنده PHP,2020-04-06 03:00:05,C,FT
S,False,2020-04-04 10:46:56,<6MT,برنامه‌نویس دستگاه POS,2020-06-04 03:00:05,C,FT
S,False,2020-02-05 16:00:55,,برنامه‌نویس Vue.js,2020-04-06 03:00:05,C,FT
J,False,2020-02-05 16:01:14,,توسعه‌دهنده iOS,2020-04-06 03:00:05,C,FT
S,False,2020-04-04 10:46:19,<8MT,Backend Developer,2020-06-04 03:00:05,C,FT
J,False,2019-10-26 12:10:03,,توسعه‌دهنده بک اند,2019-12-26 03:00:05,C,FT
S,False,2019-12-18 13:17:01,<3MT,برنامه‌نویس وب (Front-End),2020-02-17 03:00:04,C,FT
S,False,2020-01-13 16:03:47,,توسعه‌دهنده Front-end,2020-03-14 03:00:05,C,FT
J,True,2020-04-04 10:46:12,<3MT,برنامه‌نویس Front-End,2020-06-04 03:00:05,C,PT
J,True,2020-02-05 13:03:09,<3MT,توسعه‌دهنده Front End,2020-03-24 23:01:48,C,PT
I,False,2019-12-18 14:09:23,,توسعه‌دهنده Front End,2020-02-01 10:49:22,C,FT
,False,2017-03-08 09:42:22,,برنامه نویس حرفه ای سی/سی++,2017-05-07 10:42:22,A,
S,False,2020-04-04 10:45:13,,برنامه‌نویس ارشد Front-End,2020-06-04 03:00:05,C,FT
S,False,2020-02-05 17:17:59,,برنامه‌نویس React Native,2020-04-06 03:00:05,C,FT
S,False,2020-01-25 17:36:24,,برنامه‌نویس وب,2020-03-26 03:00:05,C,FT
I,False,2020-02-08 11:14:25,<1MT,کارآموز طراحی سایت و برنامه‌نویسی خانم,2020-04-09 03:00:05,C,FT
S,False,2020-02-08 11:14:03,,برنامه‌نویس Front-end,2020-04-09 03:00:05,C,FT
J,False,2020-02-08 11:13:55,,توسعه‌دهنده Backend,2020-04-09 03:00:05,C,FT
J,False,2019-12-08 11:33:05,,Data Engineer,2019-12-21 13:25:10,C,FT
,False,2017-05-01 20:03:12,,تحلیل‌گر کسب و کار,2017-06-30 20:03:12,C,
S,False,2020-09-13 11:09:31,<12MT,Senior Backend Developer,2020-11-13 03:00:09,C,FT
J,False,2019-12-29 10:22:01,<3MT,برنامه‌نویس Front-End,2020-02-28 03:00:05,C,FT
J,False,2019-12-29 10:20:10,<3MT,برنامه‌نویس Front-End,2020-02-28 03:00:05,C,FT
